batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260823T180150090727-3435ec1c-R,YFINANCE_FREE,2026-08-23T18:01:50+00:00,2026-08-23T18:01:50+00:00,1,0,1,0,1,PARTIAL,
YF-20260823T180149634967-b07a630c,YFINANCE_FREE,2026-08-23T18:01:49+00:00,2026-08-23T18:01:49+00:00,6,6,0,0,0,SUCCESS,
YF-20260823T180148898463-54025576,YFINANCE_FREE,2026-08-23T18:01:48+00:00,2026-08-23T18:01:49+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T180148126410-597c5a26,YFINANCE_FREE,2026-08-23T18:01:48+00:00,2026-08-23T18:01:48+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T180147325226-e63390f6,YFINANCE_FREE,2026-08-23T18:01:47+00:00,2026-08-23T18:01:47+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T180146146623-0a2045a3,YFINANCE_FREE,2026-08-23T18:01:46+00:00,2026-08-23T18:01:47+00:00,1,1,0,0,0,SUCCESS,
YF-20260823T174245343159-94b6a387-R,YFINANCE_FREE,2026-08-23T17:42:45+00:00,2026-08-23T17:42:45+00:00,2,0,2,0,1,PARTIAL,
YF-20260823T174243601576-54025576,YFINANCE_FREE,2026-08-23T17:42:43+00:00,2026-08-23T17:42:44+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T174244596307-83c1974c,YFINANCE_FREE,2026-08-23T17:42:44+00:00,2026-08-23T17:42:44+00:00,1,0,1,0,0,PARTIAL,
YF-20260823T174244225498-b07a630c,YFINANCE_FREE,2026-08-23T17:42:44+00:00,2026-08-23T17:42:44+00:00,6,6,0,0,0,SUCCESS,
YF-20260823T174242942582-597c5a26,YFINANCE_FREE,2026-08-23T17:42:42+00:00,2026-08-23T17:42:43+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T174242351724-e63390f6,YFINANCE_FREE,2026-08-23T17:42:42+00:00,2026-08-23T17:42:42+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T174240267428-83c1974c,YFINANCE_FREE,2026-08-23T17:42:40+00:00,2026-08-23T17:42:42+00:00,1,0,1,0,0,PARTIAL,
YF-20260823T173020042106-b07a630c,YFINANCE_FREE,2026-08-23T17:30:20+00:00,2026-08-23T17:30:20+00:00,6,6,0,0,0,SUCCESS,
YF-20260823T173019071641-54025576,YFINANCE_FREE,2026-08-23T17:30:19+00:00,2026-08-23T17:30:19+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T173018060091-597c5a26,YFINANCE_FREE,2026-08-23T17:30:18+00:00,2026-08-23T17:30:18+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T173017114289-e63390f6,YFINANCE_FREE,2026-08-23T17:30:17+00:00,2026-08-23T17:30:17+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T173015066925-83c1974c,YFINANCE_FREE,2026-08-23T17:30:15+00:00,2026-08-23T17:30:17+00:00,1,0,1,0,0,PARTIAL,
YF-20260823T161002376504-78929c02,YFINANCE_FREE,2026-08-23T16:10:02+00:00,2026-08-23T16:10:02+00:00,7,7,0,0,0,SUCCESS,
YF-20260823T161000645775-b022252c,YFINANCE_FREE,2026-08-23T16:10:00+00:00,2026-08-23T16:10:01+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T160958765774-2819b08a,YFINANCE_FREE,2026-08-23T16:09:58+00:00,2026-08-23T16:09:59+00:00,10,10,0,0,0,SUCCESS,
YF-20260823T160956002615-e63390f6,YFINANCE_FREE,2026-08-23T16:09:56+00:00,2026-08-23T16:09:57+00:00,10,10,0,0,0,SUCCESS,
