WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,Yahoo_Symbol,AsOf,Bars,Bars_Raw,Bars_Used,Excluded_Invalid_Bars,Close_Raw,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,ATR14_Pct_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,Split_Count,Feature_Status
SMOKE:AU:BHP,BHP Group Ltd.,,Australia,BHP,SMOKE_TEST_REFERENCE,XASX,AUD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,BHP.AX,2026-08-21,508,508,508,0,65.16000366210938,65.16000366210938,62.5927373035221,61.058630293790266,53.65280004501343,1.4074455802353703,0.02159983887560463,0.062102775594940374,0.10722184114861211,0.07613549930859786,65.79000091552734,65.9800033569336,65.9800033569336,58.56999969482422,56.244998931884766,0.041015403211049684,0.06717106735910883,0.2144753602317433,-0.012428003229830842,0.11080418684662482,6605248.0,417888476.4483566,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:AU:CBA,Commonwealth Bank of Australia,,Australia,CBA,SMOKE_TEST_REFERENCE,XASX,AUD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,CBA.AX,2026-08-21,507,508,507,1,157.99000549316406,157.99000549316406,168.23938592335625,169.18091488707606,165.93840034484865,3.6412837772283195,0.02304755776077159,-0.054914116027588666,-0.09216797907626584,-0.021188266472657036,181.39999389648438,181.39999389648438,185.58999633789062,155.24000549316406,155.24000549316406,-0.06092140894321518,-0.06614758763647566,-0.04789967141521456,-0.14871486281231028,0.165580020847915,2083225.0,362917125.5487671,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:AU:CSL,CSL Ltd.,,Australia,CSL,SMOKE_TEST_REFERENCE,XASX,AUD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,CSL.AX,2026-08-21,508,508,508,0,168.3000030517578,168.3000030517578,141.8855555261994,130.1160586179891,143.78525020599366,5.363889857214343,0.03187100273292788,0.23296705532423312,0.47347225751256894,0.7245620388082039,175.94000244140625,175.94000244140625,222.47000122070312,114.26000213623047,90.0,0.18616727705365999,0.29346065996260995,0.17049560236980588,-0.24349349517558339,0.36648840871504407,1142993.0,154243169.58396912,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:BR:ITUB4,Itau Unibanco Holding SA,,Brazil,ITUB4,SMOKE_TEST_REFERENCE,BVMF,BRL,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,ITUB4.SA,2026-08-21,500,500,500,0,38.599998474121094,38.599998474121094,39.877928001739775,40.91740208117473,41.65076574732957,0.9760832554625701,0.02528713197014693,-0.01025644938151038,-0.0831353949371626,-0.03500003814697261,43.86000061035156,44.63999938964844,49.66999816894531,37.349998474121094,37.349998474121094,-0.0320460362826005,-0.05663613741791851,-0.07324636698676013,-0.22287095033044324,0.16865291175063185,23092150.0,923477631.2602997,2,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:BR:PETR4,Petroleo Brasileiro SA,,Brazil,PETR4,SMOKE_TEST_REFERENCE,BVMF,BRL,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,PETR4.SA,2026-08-21,500,500,500,0,44.29999923706055,44.29999923706055,42.38945837098981,41.860883261462,39.50710006713867,1.0511066913099367,0.023727013756483332,0.052506511676426726,0.04951433778534997,0.04210776255478299,44.630001068115234,44.630001068115234,50.689998626708984,40.81999969482422,37.400001525878906,0.0450711318212611,0.058267188495854105,0.12131741286444164,-0.1260603583106331,0.08600454715366315,36950950.0,1561138140.1721954,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:BR:VALE3,Vale SA,,Brazil,VALE3,SMOKE_TEST_REFERENCE,BVMF,BRL,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,VALE3.SA,2026-08-21,500,500,500,0,75.02999877929688,75.02999877929688,73.95761678305507,75.69989533573678,77.91430011749267,1.8365454145819247,0.0244774816001821,0.05231410333645292,-0.0027910564916932,-0.10636017630480499,76.94999694824219,85.08000183105469,91.62000274658203,70.69000244140625,70.69000244140625,0.014499953390703313,-0.00884937229396221,-0.03701889555378601,-0.18107403918304354,0.08343322149384422,17988750.0,1333536598.8319397,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:CA:ENB,Enbridge Inc.,,Canada,ENB,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,ENB.TO,2026-08-21,503,503,503,0,69.54000091552734,69.54000091552734,72.75500695365832,74.87794527797031,72.12165044784545,1.4171735555280704,0.020379257073199646,-0.015153656501560087,-0.12451214089953855,-0.10547976811900284,80.30000305175781,80.30000305175781,80.6500015258789,69.02999877929688,69.02999877929688,-0.0441894815593763,-0.07128860631293832,-0.03579576335659462,-0.13775573961751997,0.16206505786721234,12937200.0,912590358.8432312,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:CA:RY,Royal Bank of Canada,,Canada,RY,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,RY.TO,2026-08-21,503,503,503,0,282.3699951171875,282.3699951171875,293.0434904810972,288.0974859145691,248.26145004272462,4.8931502734875485,0.017328860566282273,-0.06095781957342783,-0.03847862496634358,0.07923092534834408,302.3500061035156,306.3800048828125,306.3800048828125,281.29998779296875,257.6000061035156,-0.03642290550930427,-0.019880391455689428,0.13738961513595038,-0.0783667647463111,0.07454764555210912,2770150.0,799800713.25531,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:CA:SHOP,Shopify Inc.,,Canada,SHOP,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SHOP.TO,2026-08-21,503,503,503,0,205.6300048828125,205.6300048828125,197.98088978790707,183.63405373783147,182.2107999420166,8.894917429079502,0.04325690423510261,-0.04068113353116487,0.3026099334078456,0.39438532027315376,221.1199951171875,221.1199951171875,253.10000610351562,156.91000366210938,146.0,0.038635623383144635,0.1197814386670566,0.12852808367148594,-0.18755432665334792,0.31225983528848855,2049700.0,410852402.7786255,0,DEV_FEATURES_NOT_YET_PROMOTED
SMOKE:CH:NESN,Nestle SA,,Switzerland,NESN,SMOKE_TEST_REFERENCE,XSWX,CHF,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,NESN.SW,2026-08-21,500,500,500,0,79.68000030517578,79.68000030517578,80.55778794286758,80.99262469551903,79.21215003967285,1.4006159263664757,0.01757801105675317,-0.016417748376528762,-0.012272193953645538,0.0030211210522879117,83.91000366210938,87.08999633789062,87.08999633789062,78.36000061035156,76.18000030517578,-0.010896372158509804,-0.016206715059277066,0.005906294239818255,-0.08508435347689802,0.06965365249122998,2492557.5,198275557.467247,0,DEV_FEATURES_NOT_YET_PROMOTED
