WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
SMOKE:US:AAPL,AAPL,EXPLICIT,AAPL,XNAS,USD
SMOKE:US:MSFT,MSFT,EXPLICIT,MSFT,XNAS,USD
SMOKE:US:JPM,JPM,EXPLICIT,JPM,XNYS,USD
SMOKE:US:BRKB,BRK-B,EXPLICIT,BRK.B,XNYS,USD
SMOKE:CA:SHOP,SHOP.TO,EXPLICIT,SHOP,XTSE,CAD
SMOKE:CA:RY,RY.TO,EXPLICIT,RY,XTSE,CAD
SMOKE:CA:ENB,ENB.TO,EXPLICIT,ENB,XTSE,CAD
SMOKE:DE:SAP,SAP.DE,EXPLICIT,SAP,XETR,EUR
SMOKE:DE:SIE,SIE.DE,EXPLICIT,SIE,XETR,EUR
SMOKE:DE:ALV,ALV.DE,EXPLICIT,ALV,XETR,EUR
SMOKE:FR:MC,MC.PA,EXPLICIT,MC,XPAR,EUR
SMOKE:FR:OR,OR.PA,EXPLICIT,OR,XPAR,EUR
SMOKE:FR:AIR,AIR.PA,EXPLICIT,AIR,XPAR,EUR
SMOKE:UK:SHEL,SHEL.L,EXPLICIT,SHEL,XLON,GBP
SMOKE:UK:AZN,AZN.L,EXPLICIT,AZN,XLON,GBP
SMOKE:UK:HSBA,HSBA.L,EXPLICIT,HSBA,XLON,GBP
SMOKE:CH:NESN,NESN.SW,EXPLICIT,NESN,XSWX,CHF
SMOKE:CH:NOVN,NOVN.SW,EXPLICIT,NOVN,XSWX,CHF
SMOKE:CH:ROG,ROG.SW,EXPLICIT,ROG,XSWX,CHF
SMOKE:JP:7203,7203.T,EXPLICIT,7203,XTKS,JPY
SMOKE:JP:6758,6758.T,EXPLICIT,6758,XTKS,JPY
SMOKE:JP:9984,9984.T,EXPLICIT,9984,XTKS,JPY
SMOKE:HK:700,0700.HK,EXPLICIT,700,XHKG,HKD
SMOKE:HK:9988,9988.HK,EXPLICIT,9988,XHKG,HKD
SMOKE:HK:1299,1299.HK,EXPLICIT,1299,XHKG,HKD
SMOKE:IN:RELIANCE,RELIANCE.NS,EXPLICIT,RELIANCE,XNSE,INR
SMOKE:IN:INFY,INFY.NS,EXPLICIT,INFY,XNSE,INR
SMOKE:IN:HDFCBANK,HDFCBANK.NS,EXPLICIT,HDFCBANK,XNSE,INR
SMOKE:AU:BHP,BHP.AX,EXPLICIT,BHP,XASX,AUD
SMOKE:AU:CBA,CBA.AX,EXPLICIT,CBA,XASX,AUD
SMOKE:AU:CSL,CSL.AX,EXPLICIT,CSL,XASX,AUD
SMOKE:BR:PETR4,PETR4.SA,EXPLICIT,PETR4,BVMF,BRL
SMOKE:BR:VALE3,VALE3.SA,EXPLICIT,VALE3,BVMF,BRL
SMOKE:BR:ITUB4,ITUB4.SA,EXPLICIT,ITUB4,BVMF,BRL
SMOKE:ZA:NPN,NPN.JO,EXPLICIT,NPN,XJSE,ZAR
SMOKE:ZA:SOL,SOL.JO,EXPLICIT,SOL,XJSE,ZAR
SMOKE:ZA:SBK,SBK.JO,EXPLICIT,SBK,XJSE,ZAR
