WS_ID,ISIN,MIC,Primary_Ticker,Issuer,Instrument_Type,Sector,Index_Membership,Admission_Status,Evidence_Source,Evidence_Rank,Snapshot_Date,Reason_Code,Review_Reason,Currency
,--,,AUD,AUD CASH,OTHER,Cash and/or Derivatives,NO,EXCLUDE,iShares_IOZ,3,03-Sept-2026,NON_INDEX_HOLDING,,AUD
WS:XASX:RMD,AU000000RMD6,XASX,RMD,RESMED CDI,CDI,Health Care,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:NEM,AU0000297962,XASX,NEM,NEWMONT CORPORATION CDI,CDI,Materials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:JHX,AU000000JHX1,XASX,JHX,JAMES HARDIE INDUSTRIES CDI PLC,CDI,Materials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:LNW,AU0000278103,XASX,LNW,LIGHT & WONDER INC. CDI,CDI,Consumer Discretionary,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:AMC,AU000000AMC4,XASX,AMC,AMCOR CDI PLC,CDI,Materials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:XYZ,AU0000380420,XASX,XYZ,BLOCK CDI,CDI,Financials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:360,AU0000045098,XASX,360,LIFE360 INC. CDI,CDI,Information Technology,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:CSC,AU0000318552,XASX,CSC,CAPSTONE COPPER CORP CDI,CDI,Materials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:AAI,AU0000339426,XASX,AAI,ALCOA CORPORATION CDI CORP,CDI,Materials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
WS:XASX:NXG,AU0000159329,XASX,NXG,NEXGEN ENERGY (CANADA) CDI,CDI,Energy,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
,--,,JPSFT,CASH COLLATERAL AUD JPSFT,OTHER,Cash and/or Derivatives,NO,EXCLUDE,iShares_IOZ,3,03-Sept-2026,NON_INDEX_HOLDING,,AUD
WS:XASX:GQG,AU0000180499,XASX,GQG,GQG PARTNERS INC. CDI INC,CDI,Financials,SP_ASX_200,EXCLUDE,iShares_IOZ,3,03-Sept-2026,CDI,,AUD
,--,,EUR,EUR CASH,OTHER,Cash and/or Derivatives,NO,EXCLUDE,iShares_IOZ,3,03-Sept-2026,NON_INDEX_HOLDING,,EUR
,--,,ETD_AUD,ETD AUD BALANCE WITH R73222,OTHER,Cash and/or Derivatives,NO,EXCLUDE,iShares_IOZ,3,03-Sept-2026,NON_INDEX_HOLDING,,AUD
,--,,XPU6,SPI 200 SEP 26,OTHER,Cash and/or Derivatives,NO,EXCLUDE,iShares_IOZ,3,03-Sept-2026,NON_INDEX_HOLDING,,AUD
