WS_ID,ISIN,MIC,Primary_Ticker,Issuer,Instrument_Type,Sector,Index_Membership,Admission_Status,Evidence_Source,Evidence_Rank,Snapshot_Date,Reason_Code,Review_Reason,Currency
WS:XASX:GMG,AU000000GMG2,XASX,GMG,GOODMAN GROUP UNITS,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:TCL,AU000000TCL6,XASX,TCL,TRANSURBAN GROUP STAPLED UNITS,STAPLED,Industrials,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_STAPLED,REVIEW_STAPLED,AUD
WS:XASX:SCG,AU000000SCG8,XASX,SCG,SCENTRE GROUP,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:APA,AU000000APA1,XASX,APA,APA GROUP UNITS,STAPLED,Utilities,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_STAPLED,REVIEW_STAPLED,AUD
WS:XASX:XRO,NZXROE0001S2,XASX,XRO,XERO,ORDINARY,Information Technology,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:SGP,AU000000SGP0,XASX,SGP,STOCKLAND STAPLED UNITS LTD,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:VCX,AU000000VCX7,XASX,VCX,VICINITY CENTRES,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:CHC,AU000000CHC0,XASX,CHC,CHARTER HALL GROUP STAPLED UNITS,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:GPT,AU000000GPT8,XASX,GPT,GPT GROUP STAPLED UNITS,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:MGR,AU000000MGR9,XASX,MGR,MIRVAC GROUP STAPLED UNITS,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:FPH,NZFAPE0001S2,XASX,FPH,FISHER AND PAYKEL HEALTHCARE CORPO,ORDINARY,Health Care,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:DXS,AU000000DXS1,XASX,DXS,DEXUS STAPLED UNITS,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:A2M,NZATME0002S8,XASX,A2M,THE A2 MILK COMPANY,ORDINARY,Consumer Staples,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:CNU,NZCNUE0001S2,XASX,CNU,CHORUS,ORDINARY,Communication,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:AIA,NZAIAE0002S6,XASX,AIA,AUCKLAND INTERNATIONAL AIRPORT,ORDINARY,Industrials,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:NEU,NZNEUE0001S8,XASX,NEU,NEUREN PHARMACEUTICALS,ORDINARY,Health Care,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_FOREIGN_ORDINARY,REVIEW_FOREIGN_ORDINARY,AUD
WS:XASX:RGN,AU0000253502,XASX,RGN,REGION GROUP STAPLED UNITS LTD,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:BWP,AU000000BWP3,XASX,BWP,BWP GROUP STAPLED UNITS TRUST,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
WS:XASX:CLW,AU000000CLW0,XASX,CLW,CHARTER HALL LONG WALE REIT STAPLE,A_REIT,Real Estate,SP_ASX_200,REVIEW,iShares_IOZ,3,03-Sept-2026,REVIEW_AREIT,REVIEW_AREIT,AUD
