ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
AU000000BHP4,XASX,BHP,WS:XASX:BHP,NEW
AU000000CBA7,XASX,CBA,WS:XASX:CBA,NEW
AU000000NAB4,XASX,NAB,WS:XASX:NAB,NEW
AU000000WBC1,XASX,WBC,WS:XASX:WBC,NEW
AU000000ANZ3,XASX,ANZ,WS:XASX:ANZ,NEW
AU000000MQG1,XASX,MQG,WS:XASX:MQG,NEW
AU000000WES1,XASX,WES,WS:XASX:WES,NEW
AU000000CSL8,XASX,CSL,WS:XASX:CSL,NEW
AU000000RIO1,XASX,RIO,WS:XASX:RIO,NEW
AU0000224040,XASX,WDS,WS:XASX:WDS,NEW
AU000000TLS2,XASX,TLS,WS:XASX:TLS,NEW
AU000000WOW2,XASX,WOW,WS:XASX:WOW,NEW
AU000000ALL7,XASX,ALL,WS:XASX:ALL,NEW
AU000000QBE9,XASX,QBE,WS:XASX:QBE,NEW
AU000000NST8,XASX,NST,WS:XASX:NST,NEW
AU0000030678,XASX,COL,WS:XASX:COL,NEW
AU000000EVN4,XASX,EVN,WS:XASX:EVN,NEW
AU000000FMG4,XASX,FMG,WS:XASX:FMG,NEW
AU000000STO6,XASX,STO,WS:XASX:STO,NEW
AU000000BXB1,XASX,BXB,WS:XASX:BXB,NEW
AU000000S320,XASX,S32,WS:XASX:S32,NEW
AU000000CPU5,XASX,CPU,WS:XASX:CPU,NEW
AU000000SUN6,XASX,SUN,WS:XASX:SUN,NEW
AU000000ORG5,XASX,ORG,WS:XASX:ORG,NEW
AU000000IAG3,XASX,IAG,WS:XASX:IAG,NEW
AU000000PLS0,XASX,PLS,WS:XASX:PLS,NEW
AU000000SOL3,XASX,SOL,WS:XASX:SOL,NEW
AU000000SIG5,XASX,SIG,WS:XASX:SIG,NEW
AU000000QAN2,XASX,QAN,WS:XASX:QAN,NEW
AU000000LYC6,XASX,LYC,WS:XASX:LYC,NEW
AU000000BSL0,XASX,BSL,WS:XASX:BSL,NEW
AU000000MPL3,XASX,MPL,WS:XASX:MPL,NEW
AU000000ALQ6,XASX,ALQ,WS:XASX:ALQ,NEW
AU000000MIN4,XASX,MIN,WS:XASX:MIN,NEW
AU0000219529,XASX,TLC,WS:XASX:TLC,NEW
AU000000ASX7,XASX,ASX,WS:XASX:ASX,NEW
AU000000SFR8,XASX,SFR,WS:XASX:SFR,NEW
AU000000ORI1,XASX,ORI,WS:XASX:ORI,NEW
AU0000088338,XASX,ALD,WS:XASX:ALD,NEW
AU000000RHC8,XASX,RHC,WS:XASX:RHC,NEW
AU000000CAR3,XASX,CAR,WS:XASX:CAR,NEW
AU000000GMD9,XASX,GMD,WS:XASX:GMD,NEW
AU000000PME8,XASX,PME,WS:XASX:PME,NEW
AU000000SHL7,XASX,SHL,WS:XASX:SHL,NEW
AU000000NXT8,XASX,NXT,WS:XASX:NXT,NEW
AU000000TNE8,XASX,TNE,WS:XASX:TNE,NEW
AU000000COH5,XASX,COH,WS:XASX:COH,NEW
AU000000PRU3,XASX,PRU,WS:XASX:PRU,NEW
AU000000REA9,XASX,REA,WS:XASX:REA,NEW
AU000000WTC3,XASX,WTC,WS:XASX:WTC,NEW
AU000000RMS4,XASX,RMS,WS:XASX:RMS,NEW
AU000000CMM9,XASX,CMM,WS:XASX:CMM,NEW
AU000000JBH7,XASX,JBH,WS:XASX:JBH,NEW
AU000000WHC8,XASX,WHC,WS:XASX:WHC,NEW
AU000000RRL8,XASX,RRL,WS:XASX:RRL,NEW
AU000000SDF8,XASX,SDF,WS:XASX:SDF,NEW
AU000000AZJ1,XASX,AZJ,WS:XASX:AZJ,NEW
AU000000AMP6,XASX,AMP,WS:XASX:AMP,NEW
AU000000BEN6,XASX,BEN,WS:XASX:BEN,NEW
AU000000HUB4,XASX,HUB,WS:XASX:HUB,NEW
AU0000397705,XASX,GGP,WS:XASX:GGP,NEW
AU000000ANN9,XASX,ANN,WS:XASX:ANN,NEW
AU000000WGX6,XASX,WGX,WS:XASX:WGX,NEW
AU000000IGO4,XASX,IGO,WS:XASX:IGO,NEW
AU000000CWY3,XASX,CWY,WS:XASX:CWY,NEW
AU000000CDA3,XASX,CDA,WS:XASX:CDA,NEW
AU000000CGF5,XASX,CGF,WS:XASX:CGF,NEW
AU000000AGL7,XASX,AGL,WS:XASX:AGL,NEW
AU000000PDN8,XASX,PDN,WS:XASX:PDN,NEW
AU0000154833,XASX,EDV,WS:XASX:EDV,NEW
AU000000SEK6,XASX,SEK,WS:XASX:SEK,NEW
AU000000TLX2,XASX,TLX,WS:XASX:TLX,NEW
AU0000184459,XASX,VNT,WS:XASX:VNT,NEW
AU000000WOR2,XASX,WOR,WS:XASX:WOR,NEW
AU000000BOQ8,XASX,BOQ,WS:XASX:BOQ,NEW
AU000000TWE9,XASX,TWE,WS:XASX:TWE,NEW
AU000000WAF6,XASX,WAF,WS:XASX:WAF,NEW
AU000000DOW2,XASX,DOW,WS:XASX:DOW,NEW
AU000000APE3,XASX,APE,WS:XASX:APE,NEW
AU000000EMR4,XASX,EMR,WS:XASX:EMR,NEW
AU000000SGM7,XASX,SGM,WS:XASX:SGM,NEW
AU000000MP15,XASX,MP1,WS:XASX:MP1,NEW
AU000000AUB9,XASX,AUB,WS:XASX:AUB,NEW
AU000000REH4,XASX,REH,WS:XASX:REH,NEW
AU000000NWH5,XASX,NWH,WS:XASX:NWH,NEW
AU0000016875,XASX,VEA,WS:XASX:VEA,NEW
AU000000MTS0,XASX,MTS,WS:XASX:MTS,NEW
