Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Existing_ISIN,Lane_A_Status,Auto_ISIN_Candidate,Auto_Security_Name,Auto_Security_Class,Auto_Instrument_Type,Auto_Primary_MIC,Auto_Primary_Ticker,Auto_Source,Auto_Source_Rank,Auto_Confidence,Auto_Notes,Verified_Issuer,Verified_Security_Name,Verified_Security_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,CUSIP_Crosscheck,Evidence_Primary_Source,Evidence_Primary_Rank,Evidence_Primary_Date,Evidence_Supporting_Source,Evidence_Supporting_Rank,Evidence_Supporting_Date,ISIN_Format_Check,ISIN_Luhn_Check,Security_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Final_Status,Review_Reason,Evidence_Notes
"WS:XTSE:AAUC","Allied Gold Corporation","XTSE","AAUC","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AAUC","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Allied Gold Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AAUC","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AAV","Advantage Energy Ltd.","XTSE","AAV","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AAV","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Advantage Energy Ltd.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AAV","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ABRA","AbraSilver Resource Corp.","XTSE","ABRA","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ABRA","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","AbraSilver Resource Corp.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ABRA","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ABX","Barrick Mining Corporation","XTSE","ABX","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ABX","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Barrick Mining Corporation","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ABX","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AC","Air Canada Voting and Variable Voting Shares","XTSE","AC","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AC","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Air Canada Voting and Variable Voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AC","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:ACO.X","ATCO Ltd. Class I Non-voting Shares","XTSE","ACO.X","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","ACO.X","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","ATCO Ltd. Class I Non-voting Shares","","","UNRESOLVED","Toronto Stock Exchange","XTSE","ACO.X","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AEM","Agnico Eagle Mines Limited","XTSE","AEM","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AEM","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Agnico Eagle Mines Limited","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AEM","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AG","First Majestic Silver Corp.","XTSE","AG","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AG","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","First Majestic Silver Corp.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AG","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AGI","Alamos Gold Inc.","XTSE","AGI","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AGI","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Alamos Gold Inc.","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AGI","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
"WS:XTSE:AIF","Altus Group Limited","XTSE","AIF","","HARD_REVIEW_REQUIRED","","","","UNRESOLVED","XTSE","AIF","TMX/TSX + issuer/filing source review","R1/R2","LOW","No exact Security-Class ISIN payload available; fail-closed","","Altus Group Limited","","","UNRESOLVED","Toronto Stock Exchange","XTSE","AIF","","TMX/TSX listing directory and repository TMX lineage","R1","2026-08-22T18:43:59.282000","Issuer/SEDAR+ review path; no exact ISIN established","R1/R2","2026-08-22T18:43:59.282000","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","PASS","PASS","NONE","NO_COLLISION","IDENTITY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Baseline Source_ID=SRC_TMX_TSX_COMPOSITE; Source_AsOf=; Last_Validated=2026-08-22T18:43:59.282000; Notes=; no new membership introduced"
