Source_Snapshot_Date,Population_Name,Population_Source,Population_Source_Rank,Population_Membership_Verified,Source_Security_Name,Source_Ticker,Source_Identifier,Verified_Issuer,Verified_Security_Name,Verified_Share_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,Canonical_WS_ID,Listing_Status,CUSIP_Crosscheck,Membership_Evidence_Source,Membership_Evidence_Rank,Membership_Evidence_Date,Listing_Evidence_Source,Listing_Evidence_Rank,Listing_Evidence_Date,Identity_Evidence_Source,Identity_Evidence_Rank,Identity_Evidence_Date,Supporting_Evidence_Source,Supporting_Evidence_Rank,Supporting_Evidence_Date,ISIN_Format_Check,ISIN_Luhn_Check,ISIN_Security_Match,ISIN_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Legacy_Overlap_Status,Final_Status,Review_Reason,Exclude_Reason,Evidence_Notes
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Allied Gold Corporation,AAUC,,,,,,,TSX,XTSE,AAUC,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Advantage Energy Ltd.,AAV,,,,,,,TSX,XTSE,AAV,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,AbraSilver Resource Corp.,ABRA,,,,,,,TSX,XTSE,ABRA,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Barrick Mining Corporation,ABX,,,,,,,TSX,XTSE,ABX,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Air Canada Voting and Variable Voting Shares,AC,,,,,,,TSX,XTSE,AC,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,ATCO Ltd. Class I Non-voting Shares,ACO.X,,,,,,,TSX,XTSE,ACO.X,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Agnico Eagle Mines Limited,AEM,,,,,,,TSX,XTSE,AEM,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,First Majestic Silver Corp.,AG,,,,,,,TSX,XTSE,AG,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Alamos Gold Inc.,AGI,,,,,,,TSX,XTSE,AGI,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
2026-08-22,TSX_COMPOSITE,SRC_TMX,R1,PARTIAL,Altus Group Limited,AIF,,,,,,,TSX,XTSE,AIF,,UNKNOWN,,SPDJI_PAGE,R1,2026-08-31,TMX_DIRECTORY,R1,2026-08-22,,,,,,,N/A,N/A,N/A,N/A,PASS,PASS,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,REVIEW,MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,
