Selection_Rank,Selection_Score,Source_Security_Name,Source_Ticker,Current_Membership_Status,Current_Membership_Source,Current_Membership_Rank,Current_Membership_Date,Current_Listing_Status,Listing_Evidence_Source,Listing_Evidence_Rank,Listing_Evidence_Date,Verified_Issuer,Verified_Security_Name,Verified_Share_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,Canonical_WS_ID,Identity_Evidence_Source,Identity_Evidence_Rank,Identity_Evidence_Date,Supporting_Evidence_Source,Supporting_Evidence_Rank,Supporting_Evidence_Date,ISIN_Format_Check,ISIN_Luhn_Check,ISIN_Security_Match,ISIN_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Legacy_Overlap_Status,Final_Target_Status,Review_Reason,Exclude_Reason,Evidence_Notes
1,16,Allied Gold Corporation,AAUC,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AAUC,R1,2026-09-06,Allied Gold Corporation,Allied Gold Corporation,,,,,,,,https://alliedgold.com/investor-relations/investor-overview/,R1,2026-09-06,https://money.tmx.com/en/quote/AAUC,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
2,16,Advantage Energy Ltd.,AAV,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AAV,R1,2026-09-06,Advantage Energy Ltd.,Advantage Energy Ltd.,,,,,,,,https://www.advantageog.com/investors,R1,2026-09-06,https://money.tmx.com/en/quote/AAV,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
3,16,AbraSilver Resource Corp.,ABRA,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ABRA,R1,2026-09-06,AbraSilver Resource Corp.,AbraSilver Resource Corp.,,,,,,,,https://www.abrasilver.com/news-releases/abrasilver-announces-effective-date-of-share-consolidation,R1,2026-09-06,https://money.tmx.com/en/quote/ABRA,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
4,16,Barrick Mining Corporation,ABX,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ABX,R1,2026-09-06,Barrick Mining Corporation,Barrick Mining Corporation,,,,,,,,https://www.barrick.com/English/investors/shares-and-dividends/default.aspx,R1,2026-09-06,https://money.tmx.com/en/quote/ABX,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
5,16,Agnico Eagle Mines Limited,AEM,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AEM,R1,2026-09-06,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,,,,,,,,https://www.agnicoeagle.com/English/investors/stock-information/default.aspx,R1,2026-09-06,https://money.tmx.com/en/quote/AEM,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
6,16,First Majestic Silver Corp.,AG,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AG,R1,2026-09-06,First Majestic Silver Corp.,First Majestic Silver Corp.,,,,,,,,https://www.firstmajestic.com/investors/stock-information/,R1,2026-09-06,https://money.tmx.com/en/quote/AG,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
7,16,Alamos Gold Inc.,AGI,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AGI,R1,2026-09-06,Alamos Gold Inc.,Alamos Gold Inc.,,,,,,,,https://www.alamosgold.com/investors/stock-information/,R1,2026-09-06,https://money.tmx.com/en/quote/AGI,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
8,16,Altus Group Limited,AIF,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/AIF,R1,2026-09-06,Altus Group Limited,Altus Group Limited,,,,,,,,https://www.altusgroup.com/investors/,R1,2026-09-06,https://money.tmx.com/en/quote/AIF,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
9,16,AltaGas Ltd.,ALA,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ALA,R1,2026-09-06,AltaGas Ltd.,AltaGas Ltd.,,,,,,,,https://www.altagas.ca/investors,R1,2026-09-06,https://money.tmx.com/en/quote/ALA,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
10,16,Altius Minerals Corporation,ALS,CURRENT_MEMBERSHIP_UNRESOLVED,https://www.spglobal.com/spdji/en/indices/equity/sp-tsx-composite-index/,R1,2026-09-06,LISTING_UNRESOLVED,https://money.tmx.com/en/quote/ALS,R1,2026-09-06,Altius Minerals Corporation,Altius Minerals Corporation,,,,,,,,https://altiusminerals.com/investors,R1,2026-09-06,https://money.tmx.com/en/quote/ALS,R1,2026-09-06,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_VERIFIED,NOT_VERIFIED,NONE,NO_COLLISION,LEGACY_MATCH_REVIEW,TARGET_REVIEW,CURRENT_MEMBERSHIP_UNRESOLVED;LISTING_UNRESOLVED;MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED,,Existing Build REVIEW input reused. S&P page had no reproducible row-level full membership export; TMX Money page did not provide sufficient current ACTIVE/primary listing/security-class evidence. Issuer path recorded; no exact ISIN/class/instrument evidence promoted. Fail-closed.
