Selection_Rank,Source_Security_Name,Source_Ticker,Existing_Primary_MIC,Existing_Primary_Ticker,Selection_Score,Selection_Factor_XTSE,Selection_Factor_Simple_Equity,Selection_Factor_No_Corp_Action,Selection_Factor_No_Multi_Class,Selection_Factor_Issuer_Evidence,Selection_Factor_Listing_Evidence,Selection_Factor_Identifier_Evidence,Selection_Penalty_Instrument,Selection_Penalty_Foreign_Secondary,Selection_Penalty_Corp_Action,Selection_Penalty_Multi_Class,Selected,Selection_Reason
1,Allied Gold Corporation,AAUC,XTSE,AAUC,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
2,Advantage Energy Ltd.,AAV,XTSE,AAV,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
3,AbraSilver Resource Corp.,ABRA,XTSE,ABRA,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
4,Barrick Mining Corporation,ABX,XTSE,ABX,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
5,Agnico Eagle Mines Limited,AEM,XTSE,AEM,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
6,First Majestic Silver Corp.,AG,XTSE,AG,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
7,Alamos Gold Inc.,AGI,XTSE,AGI,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
8,Altus Group Limited,AIF,XTSE,AIF,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
9,AltaGas Ltd.,ALA,XTSE,ALA,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
10,Altius Minerals Corporation,ALS,XTSE,ALS,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
11,Algonquin Power & Utilities Corp.,AQN,XTSE,AQN,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
12,Aecon Group Inc.,ARE,XTSE,ARE,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
13,Aris Mining Corporation,ARIS,XTSE,ARIS,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
14,Avino Silver & Gold Mines Ltd.,ASM,XTSE,ASM,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
15,Alimentation Couche-Tard Inc.,ATD,XTSE,ATD,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
16,Athabasca Oil Corporation,ATH,XTSE,ATH,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
17,AtkinsRéalis Group Inc.,ATRL,XTSE,ATRL,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
18,ATS Corporation,ATS,XTSE,ATS,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
19,Aya Gold & Silver Inc.,AYA,XTSE,AYA,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
20,BlackBerry Limited,BB,XTSE,BB,16,3,3,2,2,2,2,2,0,0,0,0,YES,Selected before research by deterministic score/ticker tie-break.
21,BCE Inc.,BCE,XTSE,BCE,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
22,Badger Infrastructure Solutions Ltd.,BDGI,XTSE,BDGI,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
23,Bird Construction Inc.,BDT,XTSE,BDT,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
24,Bausch Health Companies Inc.,BHC,XTSE,BHC,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
25,Birchcliff Energy Ltd.,BIR,XTSE,BIR,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
26,Bank of Montreal,BMO,XTSE,BMO,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
27,Bank of Nova Scotia (The),BNS,XTSE,BNS,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
28,Baytex Energy Corp.,BTE,XTSE,BTE,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
29,B2Gold Corp.,BTO,XTSE,BTO,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
30,Boyd Group Services Inc.,BYD,XTSE,BYD,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
31,CAE Inc.,CAE,XTSE,CAE,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
32,Cameco Corporation,CCO,XTSE,CCO,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
33,CES Energy Solutions Corp.,CEU,XTSE,CEU,16,3,3,2,2,2,2,2,0,0,0,0,NO,Outside frozen top-20 target.
