Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Recovery_Candidate_Score,Verified_Issuer,Verified_Security_Name,Verified_Security_Class,Verified_Instrument_Type,Verified_ISIN,Verified_Primary_Exchange,Verified_Primary_MIC,Verified_Primary_Ticker,CUSIP_Crosscheck,Primary_Evidence_Source,Primary_Evidence_Rank,Primary_Evidence_Date,Supporting_Evidence_Source,Supporting_Evidence_Rank,Supporting_Evidence_Date,ISIN_Format_Check,ISIN_Luhn_Check,Security_Class_Match,Ticker_Match,MIC_Match,Corporate_Action_Status,Collision_Status,Final_Status,Review_Reason,Evidence_Notes
"WS:XTSE:AAUC","Allied Gold Corporation","XTSE","AAUC","14","","","","","","","","","","https://money.tmx.com/en/quote/AAUC","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:AAV","Advantage Energy Ltd.","XTSE","AAV","14","","","","","","","","","","https://money.tmx.com/en/quote/AAV","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:ABRA","AbraSilver Resource Corp.","XTSE","ABRA","14","","","","","","","","","","https://money.tmx.com/en/quote/ABRA","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:ABX","Barrick Mining Corporation","XTSE","ABX","14","","","","","","","","","","https://money.tmx.com/en/quote/ABX","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:AEM","Agnico Eagle Mines Limited","XTSE","AEM","14","","","","","","","","","","https://money.tmx.com/en/quote/AEM","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:AG","First Majestic Silver Corp.","XTSE","AG","14","","","","","","","","","","https://money.tmx.com/en/quote/AG","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:AGI","Alamos Gold Inc.","XTSE","AGI","14","","","","","","","","","","https://money.tmx.com/en/quote/AGI","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:AIF","Altus Group Limited","XTSE","AIF","14","","","","","","","","","","https://money.tmx.com/en/quote/AIF","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:ALA","AltaGas Ltd.","XTSE","ALA","14","","","","","","","","","","https://money.tmx.com/en/quote/ALA","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
"WS:XTSE:ALS","Altius Minerals Corporation","XTSE","ALS","14","","","","","","","","","","https://money.tmx.com/en/quote/ALS","R1","2026-09-06","","","","NOT_APPLICABLE","NOT_APPLICABLE","NOT_VERIFIED","VERIFIED_FROM_BASELINE","VERIFIED_FROM_BASELINE","NONE","NO_COLLISION","RECOVERY_REVIEW","MISSING_ISIN;SHARE_CLASS_UNRESOLVED;INSTRUMENT_TYPE_UNRESOLVED","Selected existing baseline only. TMX listing path records the existing symbol/exchange context; no exact Security-level ISIN/Class evidence was retained for this row, so fail-closed. No CUSIP fallback, no Universe write."
