Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Recovery_Candidate_Score,Selection_Status,Selection_Reason
"WS:XTSE:AAUC","Allied Gold Corporation","XTSE","AAUC","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AAV","Advantage Energy Ltd.","XTSE","AAV","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ABRA","AbraSilver Resource Corp.","XTSE","ABRA","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ABX","Barrick Mining Corporation","XTSE","ABX","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AEM","Agnico Eagle Mines Limited","XTSE","AEM","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AG","First Majestic Silver Corp.","XTSE","AG","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AGI","Alamos Gold Inc.","XTSE","AGI","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AIF","Altus Group Limited","XTSE","AIF","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ALA","AltaGas Ltd.","XTSE","ALA","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ALS","Altius Minerals Corporation","XTSE","ALS","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AQN","Algonquin Power & Utilities Corp.","XTSE","AQN","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ARE","Aecon Group Inc.","XTSE","ARE","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ARIS","Aris Mining Corporation","XTSE","ARIS","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ARX","ARC Resources Ltd.","XTSE","ARX","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ASM","Avino Silver & Gold Mines Ltd.","XTSE","ASM","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ATD","Alimentation Couche-Tard Inc.","XTSE","ATD","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ATH","Athabasca Oil Corporation","XTSE","ATH","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ATRL","AtkinsRéalis Group Inc.","XTSE","ATRL","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:ATS","ATS Corporation","XTSE","ATS","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:AYA","Aya Gold & Silver Inc.","XTSE","AYA","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BB","BlackBerry Limited","XTSE","BB","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BCE","BCE Inc.","XTSE","BCE","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BDGI","Badger Infrastructure Solutions Ltd.","XTSE","BDGI","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BDT","Bird Construction Inc.","XTSE","BDT","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BHC","Bausch Health Companies Inc.","XTSE","BHC","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BIR","Birchcliff Energy Ltd.","XTSE","BIR","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BMO","Bank of Montreal","XTSE","BMO","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
"WS:XTSE:BNS","Bank of Nova Scotia (The)","XTSE","BNS","14","SELECTED","Top deterministic score; simple XTSE/ticker baseline; tie-break WS_ID lexicographic."
