Security_Key,Source_WS_ID,Name,ISIN,Primary_MIC,Primary_Ticker,Instrument_Type,Source_ID,Evidence_Cohort,Acquisition_Status,History_State,History_Observation_Count,History_Valid_Observation_Count,History_Evidence,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Scalable_Plausibility,Eligibility_DryRun,Eligibility_Reason,Prior_Strict_759,Proposed_Strict,Universe_Write
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,XNSE,RELIANCE,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,116092317.74272555,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,XNSE,INFY,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,85706994.15682045,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,XNSE,LT,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,49103714.52770196,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,XNSE,JSWSTEEL,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,STANDARD,20,17852748.7545727,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,XNSE,ASIANPAINT,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,STANDARD,20,16220135.40048803,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,XNSE,MAXHEALTH,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,STANDARD,20,16669402.46399214,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,XNSE,HINDUNILVR,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,20713348.18266911,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,XNSE,HINDALCO,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,498,498,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,39056887.631969556,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,XNSE,HDFCBANK,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,142256035.2798948,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,XNSE,SUNPHARMA,COMMON_STOCK,SRC_NIFTY50,BASE_1633,,HISTORY_OK,499,499,output_current_master_research_partial_1633_data_refresh_v0_38/history_gate_current_1633_v0.38.csv,LIQUIDITY_OK,PREFERRED,20,26972774.333892286,NOT_VERIFIED,PASS_STRICT_CANDIDATE,ALL_STANDARD_GATES_PASS,YES,YES,NO
