WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Source_AsOf_Official,Liquidity_Class,Mapping_State,Scalable_Tradeability_Status,Provider,History_First_Date,History_Last_Completed_Date,Unique_Daily_Bars,Valid_Completed_Bars,Invalid_Completed_Bars,History_Gate_State,Data_Quality_Detail,Download_Error,Replacement_Ticker_Used,Current_Session_Excluded
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,749,0,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,ALLOS,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,AXIA ENERGIA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,B3,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,BRASIL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:BBSE3,BVMF,BBSE3,BBSE3.SA,BBSEGURIDADE,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:BRAV3,BVMF,BRAV3,BRAV3.SA,BRAVA,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CPLE3,BVMF,CPLE3,CPLE3.SA,COPEL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,COSAN,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,COPASA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CURY3,BVMF,CURY3,CURY3.SA,CURY S/A,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CXSE3,BVMF,CXSE3,CXSE3.SA,CAIXA SEGURI,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:CYRE3,BVMF,CYRE3,CYRE3.SA,CYRELA REALT,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:EGIE3,BVMF,EGIE3,EGIE3.SA,ENGIE BRASIL,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:EMBJ3,BVMF,EMBJ3,EMBJ3.SA,EMBRAER,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:ENEV3,BVMF,ENEV3,ENEV3.SA,ENEVA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:EQTL3,BVMF,EQTL3,EQTL3.SA,EQUATORIAL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:LREN3,BVMF,LREN3,LREN3.SA,LOJAS RENNER,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MBRF3,BVMF,MBRF3,MBRF3.SA,MARFRIG,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MGLU3,BVMF,MGLU3,MGLU3.SA,MAGAZ LUIZA,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MOTV3,BVMF,MOTV3,MOTV3.SA,MOTIVA SA,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,747,2,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:MULT3,BVMF,MULT3,MULT3.SA,MULTIPLAN,2026-08-31,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,749,0,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:PETR3,BVMF,PETR3,PETR3.SA,PETROBRAS,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:PRIO3,BVMF,PRIO3,PRIO3.SA,PRIO,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RADL3,BVMF,RADL3,RADL3.SA,RAIADROGASIL,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RAIL3,BVMF,RAIL3,RAIL3.SA,RUMO S.A.,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,749,0,PASS_HISTORY_STANDARD_U3K,,,False,True
WS:BVMF:RDOR3,BVMF,RDOR3,RDOR3.SA,REDE D OR,2026-08-31,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,SCALABLE_NOT_VERIFIED,YFINANCE_FREE,2023-08-28,2026-08-27,749,748,1,PASS_HISTORY_STANDARD_U3K,,,False,True
