WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32,Standard_Eligibility_Plan_State,Scalable_Tradeability_Status,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:ASAI3,BVMF,ASAI3,ASAI3.SA,ASSAI,ORDINARY_SHARE,2026-08-31,2026-08-27,83,78949101.57,13314639.32,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:AURE3,BVMF,AURE3,AURE3.SA,AUREN,ORDINARY_SHARE,2026-08-31,2026-08-27,83,38353982.51,6469151.82,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:AZZA3,BVMF,AZZA3,AZZA3.SA,AZZAS 2154,ORDINARY_SHARE,2026-08-31,2026-08-27,83,37250638.58,6187572.27,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:BBDC3,BVMF,BBDC3,BBDC3.SA,BRADESCO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,81937459.37,13650832.53,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:BEEF3,BVMF,BEEF3,BEEF3.SA,MINERVA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,44732268.4,7479177.54,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:CEAB3,BVMF,CEAB3,CEAB3.SA,CEA MODAS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,73721738.62,12415638.53,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:CMIN3,BVMF,CMIN3,CMIN3.SA,CSNMINERACAO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,34151985.77,5683914.43,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:COGN3,BVMF,COGN3,COGN3.SA,COGNA ON,ORDINARY_SHARE,2026-08-31,2026-08-27,83,65540403.14,11043459.76,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:CPFE3,BVMF,CPFE3,CPFE3.SA,CPFL ENERGIA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,53147665.93,8913194.35,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
WS:BVMF:CSNA3,BVMF,CSNA3,CSNA3.SA,SID NACIONAL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,71475331.58,11872052.41,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False,LOW_LIQUIDITY_EXCEPTION_POOL,SCALABLE_NOT_VERIFIED,False,False
