WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_Gate_State,Identity_Gate_State,Instrument_Gate_State,Liquidity_Class,Mapping_State,History_Gate_State,History_First_Date,History_Last_Completed_Date,Unique_Daily_Bars,Valid_Completed_Bars,Scalable_Tradeability_Status,Eligibility_Plan_State,Provider,Canonical_Import_v0_33,Eligibility_Promotion_v0_33
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,749,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,ALLOS,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,AXIA ENERGIA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,B3,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,BRASIL,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:BBSE3,BVMF,BBSE3,BBSE3.SA,BBSEGURIDADE,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:BRAV3,BVMF,BRAV3,BRAV3.SA,BRAVA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,747,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:CPLE3,BVMF,CPLE3,CPLE3.SA,COPEL,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,COSAN,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_STANDARD,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,COPASA,ORDINARY_SHARE,PASS_OFFICIAL_B3_IBRX100,PASS,PASS,PASS_PREFERRED,RESOLVED_FORMAT_AND_OHLCV,PASS_HISTORY_STANDARD_U3K,2023-08-28,2026-08-28,750,748,SCALABLE_NOT_VERIFIED,STANDARD_U3K_NOT_READY_DATA_QUALITY,YFINANCE_FREE,False,False
