WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:ABEV3,AMBEV S/A,,ORDINARY_SHARE,Brazil,ABEV3,B3,BVMF,BRL,ABEV3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ALOS3,ALLOS,,ORDINARY_SHARE,Brazil,ALOS3,B3,BVMF,BRL,ALOS3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON ED NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ANIM3,ANIMA,,ORDINARY_SHARE,Brazil,ANIM3,B3,BVMF,BRL,ANIM3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:ASAI3,ASSAI,,ORDINARY_SHARE,Brazil,ASAI3,B3,BVMF,BRL,ASAI3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:AUAU3,PETZCOBASI,,ORDINARY_SHARE,Brazil,AUAU3,B3,BVMF,BRL,AUAU3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:AURE3,AUREN,,ORDINARY_SHARE,Brazil,AURE3,B3,BVMF,BRL,AURE3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:AXIA3,AXIA ENERGIA,,ORDINARY_SHARE,Brazil,AXIA3,B3,BVMF,BRL,AXIA3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:AZZA3,AZZAS 2154,,ORDINARY_SHARE,Brazil,AZZA3,B3,BVMF,BRL,AZZA3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:B3SA3,B3,,ORDINARY_SHARE,Brazil,B3SA3,B3,BVMF,BRL,B3SA3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BBAS3,BRASIL,,ORDINARY_SHARE,Brazil,BBAS3,B3,BVMF,BRL,BBAS3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BBDC3,BRADESCO,,ORDINARY_SHARE,Brazil,BBDC3,B3,BVMF,BRL,BBDC3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BBDC4,BRADESCO,,PREFERRED_SHARE,Brazil,BBDC4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,NOT_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,PN N1,v0.33 controlled source-superset projection only; no canonical import
WS:BVMF:BBSE3,BBSEGURIDADE,,ORDINARY_SHARE,Brazil,BBSE3,B3,BVMF,BRL,BBSE3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_VERIFIED,YFINANCE_VERIFIED,SCALABLE_NOT_VERIFIED,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,2026-08-31,2026-08-30T11:45:58.278725+00:00,ON NM,v0.33 controlled source-superset projection only; no canonical import
