WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-08-31,2026-08-27,83,416602821.04,70038765.22,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,ALLOS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,104054111.58,17272777.44,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ANIM3,BVMF,ANIM3,ANIM3.SA,ANIMA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,20614332.49,3489531.26,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ASAI3,BVMF,ASAI3,ASAI3.SA,ASSAI,ORDINARY_SHARE,2026-08-31,2026-08-27,83,78949101.57,13314639.32,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:AUAU3,BVMF,AUAU3,AUAU3.SA,PETZCOBASI,ORDINARY_SHARE,2026-08-31,2026-08-27,83,11901802.59,1981790.93,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:AURE3,BVMF,AURE3,AURE3.SA,AUREN,ORDINARY_SHARE,2026-08-31,2026-08-27,83,38353982.51,6469151.82,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,AXIA ENERGIA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,613461073.95,101441139.31,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:AZZA3,BVMF,AZZA3,AZZA3.SA,AZZAS 2154,ORDINARY_SHARE,2026-08-31,2026-08-27,83,37250638.58,6187572.27,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,B3,ORDINARY_SHARE,2026-08-31,2026-08-27,83,492730272.06,82864092.66,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,BRASIL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,493158132.04,81718010.43,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:BBDC3,BVMF,BBDC3,BBDC3.SA,BRADESCO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,81937459.37,13650832.53,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:BBSE3,BVMF,BBSE3,BBSE3.SA,BBSEGURIDADE,ORDINARY_SHARE,2026-08-31,2026-08-27,83,248718462.36,41467419.32,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:BEEF3,BVMF,BEEF3,BEEF3.SA,MINERVA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,44732268.4,7479177.54,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:BRAV3,BVMF,BRAV3,BRAV3.SA,BRAVA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,94402462.21,15825183.77,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CBAV3,BVMF,CBAV3,CBAV3.SA,CBA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,26086639.27,4400472.57,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CEAB3,BVMF,CEAB3,CEAB3.SA,CEA MODAS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,73721738.62,12415638.53,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CMIN3,BVMF,CMIN3,CMIN3.SA,CSNMINERACAO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,34151985.77,5683914.43,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:COGN3,BVMF,COGN3,COGN3.SA,COGNA ON,ORDINARY_SHARE,2026-08-31,2026-08-27,83,65540403.14,11043459.76,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CPFE3,BVMF,CPFE3,CPFE3.SA,CPFL ENERGIA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,53147665.93,8913194.35,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CPLE3,BVMF,CPLE3,CPLE3.SA,COPEL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,221163851.19,37129550.32,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,COSAN,ORDINARY_SHARE,2026-08-31,2026-08-27,83,117564670.42,19779964.07,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,COPASA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,205085475.58,34575749.53,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CSNA3,BVMF,CSNA3,CSNA3.SA,SID NACIONAL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,71475331.58,11872052.41,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CURY3,BVMF,CURY3,CURY3.SA,CURY S/A,ORDINARY_SHARE,2026-08-31,2026-08-27,83,113383344.4,19163160.86,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CVCB3,BVMF,CVCB3,CVCB3.SA,CVC BRASIL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,20908876.49,3470781.52,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CXSE3,BVMF,CXSE3,CXSE3.SA,CAIXA SEGURI,ORDINARY_SHARE,2026-08-31,2026-08-27,83,100815376.51,16913517.08,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:CYRE3,BVMF,CYRE3,CYRE3.SA,CYRELA REALT,ORDINARY_SHARE,2026-08-31,2026-08-27,83,148301414.93,24710241.86,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:DIRR3,BVMF,DIRR3,DIRR3.SA,DIRECIONAL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,87587626.85,14690765.39,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ECOR3,BVMF,ECOR3,ECOR3.SA,ECORODOVIAS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,29771420.71,4964380.66,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:EGIE3,BVMF,EGIE3,EGIE3.SA,ENGIE BRASIL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,101086827.71,16947453.61,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:EMBJ3,BVMF,EMBJ3,EMBJ3.SA,EMBRAER,ORDINARY_SHARE,2026-08-31,2026-08-27,83,488112826.46,80666007.67,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:ENEV3,BVMF,ENEV3,ENEV3.SA,ENEVA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,253135174.75,42222946.2,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:EQTL3,BVMF,EQTL3,EQTL3.SA,EQUATORIAL,ORDINARY_SHARE,2026-08-31,2026-08-27,83,370923610.24,62200983.49,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:EZTC3,BVMF,EZTC3,EZTC3.SA,EZTEC,ORDINARY_SHARE,2026-08-31,2026-08-27,83,26884800.54,4479113.17,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
