WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Raw_Sessions,Valid_Sessions,Invalid_Price_Rows,Invalid_Volume_Rows,Missing_FX_Rows,Price_AsOf,EURBRL_AsOf,Mapping_State,Data_Quality_State,Data_Quality_Reason,Provider
WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,AMBEV S/A,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,ALLOS,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ANIM3,BVMF,ANIM3,ANIM3.SA,ANIMA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:ASAI3,BVMF,ASAI3,ASAI3.SA,ASSAI,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:AUAU3,BVMF,AUAU3,AUAU3.SA,PETZCOBASI,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:AURE3,BVMF,AURE3,AURE3.SA,AUREN,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,AXIA ENERGIA,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:AZZA3,BVMF,AZZA3,AZZA3.SA,AZZAS 2154,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,B3,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,BRASIL,ORDINARY_SHARE,2026-08-31,84,83,1,0,0,2026-08-27,2026-08-27,RESOLVED_FORMAT_AND_OHLCV,READY,PASS_20_VALID_COMPLETED_PRIMARY_SESSIONS,YFINANCE_FREE
