Segment_ID,Source_ID,Source_Name,Configured_URL,Probe_Status,HTTP_Status,Final_URL,Response_Bytes,Candidate_Link_Count,Full_List_UI_Marker,Subscription_Blocker_Marker,Error
US_SP1500,SPDJI_SP1500_PRODUCT,S&P Dow Jones Indices — S&P Composite 1500,https://www.spglobal.com/spdji/en/indices/equity/sp-composite-1500/,ERROR,403,https://www.spglobal.com/spdji/en/indices/equity/sp-composite-1500/,2011,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://www.spglobal.com/spdji/en/indices/equity/sp-composite-1500/
MX_IPC,SPDJI_BMV_IPC_PRODUCT,S&P Dow Jones Indices — S&P/BMV IPC,https://www.spglobal.com/spdji/en/indices/equity/sp-bmv-ipc/,ERROR,403,https://www.spglobal.com/spdji/en/indices/equity/sp-bmv-ipc/,2011,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://www.spglobal.com/spdji/en/indices/equity/sp-bmv-ipc/
MX_IPC,BMV_SPECIAL_INFORMATION,Bolsa Mexicana de Valores — Special Information / Constituents List,https://www.bmv.com.mx/en/markets/special-information,HTTP_OK,200,https://www.bmv.com.mx/en/markets/special-information,299825,375,True,False,
KR_KOSPI200,KRX_KOSPI200_DATA_MARKETPLACE,Korea Exchange Data Marketplace — KOSPI 200 route,https://data.krx.co.kr/?scrnId=02080709,HTTP_OK,200,https://data.krx.co.kr/?scrnId=02080709,474,0,False,False,
AU_ASX200,SPDJI_ASX200_PRODUCT,S&P Dow Jones Indices — S&P/ASX 200,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,ERROR,403,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,2011,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/
NZ_NZX50,NZX_INDICES,NZX — S&P/NZX Indices,https://www.nzx.com/markets/indices,HTTP_OK,200,https://www.nzx.com/markets/indices,487857,10,False,True,
NZ_NZX50,SPDJI_NZX50_PRODUCT,S&P Dow Jones Indices — S&P/NZX 50 Index,https://www.spglobal.com/spdji/en/indices/equity/sp-nzx-50-index/,ERROR,403,https://www.spglobal.com/spdji/en/indices/equity/sp-nzx-50-index/,2011,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://www.spglobal.com/spdji/en/indices/equity/sp-nzx-50-index/
BR_IBRX100,B3_IBRX100_DAY_PORTFOLIO,B3 — IBrX 100 Carteira do Dia,https://sistemaswebb3-listados.b3.com.br/indexPage/day/IBXX?language=pt-br,HTTP_OK,200,https://sistemaswebb3-listados.b3.com.br/indexPage/day/IBXX?language=pt-br,2612,0,False,False,
ZA_TOP40,JSE_FTSEJSE_INDEX_SERIES,JSE — FTSE/JSE Africa Index Series,https://www.jse.co.za/services/indices/ftsejse-africa-index-series,ERROR,403,https://www.jse.co.za/services/indices/ftsejse-africa-index-series,5707,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://www.jse.co.za/services/indices/ftsejse-africa-index-series
ZA_TOP40,JSE_FTSEJSE_DOCUMENTS,JSE Client Portal — FTSE/JSE Africa Index Series Documents,https://clientportal.jse.co.za/communication/ftse-jse-africa-index-series-documents,ERROR,403,https://clientportal.jse.co.za/communication/ftse-jse-africa-index-series-documents,5782,0,False,False,HTTPError: 403 Client Error: Forbidden for url: https://clientportal.jse.co.za/communication/ftse-jse-africa-index-series-documents
