Batch_ID,Segment_ID,Primary_MIC_or_Group,Action,Rows,Prerequisite,Provider,Estimated_Request_Mode,Fail_Closed_Rule,Execution_Order
B001,BR_IBRX100,BVMF,ELIGIBILITY_RECOMPUTE_AFTER_REFRESH,38,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,1
B002,BR_IBRX100,BVMF,NO_STANDARD_REFRESH_INSTRUMENT_FAIL,19,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,2
B003,BR_IBRX100,BVMF,PRICE_HISTORY_REFRESH_REQUIRED,41,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,3
B004,CA_TSX,XTSE,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,217,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,4
B005,CN_CSI300,XSHE,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,111,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,5
B006,CN_CSI300,XSHG,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,189,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,6
B007,EU_STOXX600,XAMS,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,35,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,7
B008,EU_STOXX600,XBRU,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,17,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,8
B009,EU_STOXX600,XCSE,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,23,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,9
B010,EU_STOXX600,XDUB,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,6,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,10
B011,EU_STOXX600,XETR,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,70,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,11
B012,EU_STOXX600,XHEL,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,19,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,12
B013,EU_STOXX600,XLIS,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,5,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,13
B014,EU_STOXX600,XLON,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,124,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,14
B015,EU_STOXX600,XMAD,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,28,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,15
B016,EU_STOXX600,XMIL,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,40,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,16
B017,EU_STOXX600,XOSL,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,24,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,17
B018,EU_STOXX600,XPAR,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,69,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,18
B019,EU_STOXX600,XSTO,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,53,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,19
B020,EU_STOXX600,XSWX,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,60,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,20
B021,EU_STOXX600,XWAR,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,18,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,21
B022,EU_STOXX600,XWBO,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,9,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,22
B023,HK_HSI,XHKG,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,93,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,23
B024,IN_NIFTY50,XNSE,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,50,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,24
B025,JP_N225,XTKS,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,225,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,25
B026,TW_TW50,XTAI,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,50,mapping/identity gate,UNDECIDED_OFFLINE,batch/cache,no current eligibility PASS,26
