WS_ID,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Instrument_Gate_State,Mapping_Baseline_State,History_Evidence_State,Liquidity_Evidence_State,Scalable_Tradeability_Status,Refresh_Required,Refresh_Priority,Refresh_Action,Refresh_Prerequisite,Planned_Provider,Provider_Symbol_Current,Network_Required_In_Execution_Stage,Expected_Output,Reason
WS:ISIN:INE002A01018,IN_NIFTY50,XNSE,RELIANCE,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,RELIANCE,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE009A01021,IN_NIFTY50,XNSE,INFY,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,INFY,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE018A01030,IN_NIFTY50,XNSE,LT,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,LT,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE019A01038,IN_NIFTY50,XNSE,JSWSTEEL,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,JSWSTEEL,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE021A01026,IN_NIFTY50,XNSE,ASIANPAINT,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ASIANPAINT,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE027H01010,IN_NIFTY50,XNSE,MAXHEALTH,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,MAXHEALTH,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE030A01027,IN_NIFTY50,XNSE,HINDUNILVR,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,HINDUNILVR,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE038A01020,IN_NIFTY50,XNSE,HINDALCO,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,HINDALCO,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE040A01034,IN_NIFTY50,XNSE,HDFCBANK,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,HDFCBANK,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE044A01036,IN_NIFTY50,XNSE,SUNPHARMA,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,SUNPHARMA,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE047A01021,IN_NIFTY50,XNSE,GRASIM,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,GRASIM,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE059A01026,IN_NIFTY50,XNSE,CIPLA,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,CIPLA,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE062A01020,IN_NIFTY50,XNSE,SBIN,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,SBIN,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE066A01021,IN_NIFTY50,XNSE,EICHERMOT,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,EICHERMOT,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE075A01022,IN_NIFTY50,XNSE,WIPRO,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,WIPRO,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE081A01020,IN_NIFTY50,XNSE,TATASTEEL,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,TATASTEEL,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE089A01031,IN_NIFTY50,XNSE,DRREDDY,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,DRREDDY,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE090A01021,IN_NIFTY50,XNSE,ICICIBANK,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ICICIBANK,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE101A01026,IN_NIFTY50,XNSE,M&M,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,M&M,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
