WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Instrument_Type,Universe_Status,Source_ID,Source_AsOf,Mapping_Status_Current,Yahoo_Symbol_Current,Mapping_Baseline_State,Scalable_Tradeability_Status,Identity_Baseline_State,Instrument_Gate_Baseline_State,History_Evidence_State,History_Evidence_AsOf,History_First_Date,History_Last_Completed_Date,History_Unique_Daily_Bars,History_Valid_Completed_Bars,Liquidity_Evidence_State,Liquidity_Evidence_AsOf,MedianTurnover20_EUR,Liquidity_Class_Prior,Prior_Eligibility_State,Eligibility_Baseline_State,Price_Derived_Data_Refresh_Required,Mapping_Refresh_Required,Identity_Instrument_Remediation_Required,Planned_Next_Action,Refresh_Priority,Evidence_Source,Evidence_Confidence,Productive_Eligibility,SWING_U3K_FROZEN_Member
WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,India,RELIANCE,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,RELIANCE,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,India,INFY,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,INFY,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,India,LT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,LT,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,India,JSWSTEEL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,JSWSTEEL,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,India,ASIANPAINT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,ASIANPAINT,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,India,MAXHEALTH,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,MAXHEALTH,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,India,HINDUNILVR,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,HINDUNILVR,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,India,HINDALCO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,HINDALCO,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,India,HDFCBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,HDFCBANK,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,India,SUNPHARMA,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,COMMON_STOCK,ACTIVE_VERIFIED,SRC_NIFTY50,,UNMAPPED,SUNPHARMA,MAPPING_PRESENT_NOT_REVALIDATED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,HISTORY_NOT_CHECKED,,,,,,LIQUIDITY_NOT_CHECKED,,,,NOT_ELIGIBLE_OR_NOT_RECONCILED,PRIOR_EVIDENCE_REQUIRES_REFRESH,true,false,false,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,P1,CURRENT_CANONICAL,LOW,false,false
