Artifact_Path,Artifact_Blob_SHA,Stage_or_Version,Evidence_Type,Universe_Lineage,Rows,AsOf_or_PriceAsOf,Authority_Class,Usable_For_Current_Baseline,Reason
.github/workflows/current_master_br_ibrx100_controlled_import_eligibility_materialization_v0.34.yml,5ce3e9a4cc701f7045ec55d534df14f4df243772,0.34.yml,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
.github/workflows/current_master_br_ibrx100_eligibility_gate_completion_import_plan_v0.33.yml,ea44dd578276750c755c0af5cebfc4f87c2f45f8,0.33.yml,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
.github/workflows/current_master_br_ibrx100_source_segment_freeze_liquidity_precheck_v0.32.yml,e02c0bd4f100144154c9c1ffeffceefb40fce668,0.32.yml,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
.github/workflows/current_master_research_partial_1633_eligibility_baseline_refresh_plan_v0.37.yml,08ae2f16efc57dcad92d4c4fec9b19677242e961,0.37.yml,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
.github/workflows/full_3663_price_data.yml,152d2fba42bdbffad770e05d64cdb9bc60f64468,historical,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
.github/workflows/u3k_liquidity_fx_audit_v0_5.yml,0318c6b741625d59142847b4b276b2ba9334a231,0_5.yml,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
config/current_master_br_ibrx100_controlled_import_eligibility_materialization_v0.34.json,fff07060b55991fdf1aec06b73057598f5fb1bc6,0.34.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
config/current_master_br_ibrx100_eligibility_gate_completion_import_plan_v0.33.json,58b925dca2add72a2e082ec95d280b7d6fb3badf,0.33.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
config/current_master_br_ibrx100_source_segment_freeze_liquidity_precheck_v0.32.json,4d4f2f9604d14f8cdd38651e36a1c14187324fbf,0.32.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
config/current_master_research_partial_1633_eligibility_baseline_refresh_plan_v0.37.json,231916676c2d9f9107890d8dac7ecded8d6116ad,0.37.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
config/u3k_liquidity_fx_v0.5.json,0faa1a08e6303fe695bd925ccbb1794bce907e20,0.5.json,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
docs/validation/Current_Master_BR_IBRX100_Controlled_Import_Eligibility_Materialization_v0.34.md,b992bc26f21a399d1895b0aad809fd39e7d420a2,0.34.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
docs/validation/Current_Master_BR_IBRX100_Eligibility_Gate_Completion_Import_Plan_v0.33.md,4d641f26769100c12bca3af07502cc1dd08104a5,0.33.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
docs/validation/Current_Master_BR_IBRX100_Source_Segment_Freeze_Liquidity_Precheck_v0.32.md,5a21c7771819fa338126415394d413f6ee4eb258,0.32.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
docs/validation/Current_Master_Research_Partial_1633_Eligibility_Baseline_Refresh_Plan_v0.37.md,b6e9047214dce018872910e747fc978bea56b8f9,0.37.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
docs/validation/Full_3663_Price_Data_Run_Release_v0.1.md,f3b2428ad73386a85f5949365b346f7b69aee75b,0.1.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
docs/validation/U3K_Liquidity_FX_Eligibility_Audit_v0.5.md,ee93141b26d2f0b17d9d0f4c6eb2dcabc2043e5f,0.5.md,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
output/mapping_audit.csv,7dd9f7e5806feabe809272625da17e4082091e7c,historical,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,HISTORICAL_DIAGNOSTIC,false,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_controlled_master_import_plan_v0.33.csv,9f47edb54751a77816f103eafb2840f1ce71fd5b,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
output_current_master_br_ibrx100_eligibility_plan_v0_33/br_ibrx100_history_cache_v0.33.csv,cb5483c46c6f28fbc99af2c3363d9b3bbd73ac19,0.33.csv,HISTORICAL_OR_SEGMENT_EVIDENCE,UNCLASSIFIED_OFFLINE,,,CURRENT_SEGMENT_EVIDENCE,true,inventoried offline; only stable WS_ID joins promoted
