WS_ID,Gap_Family,Diagnostic_Classification,Provider_Symbol,Request_Mode,Repair_Pass,Primary_MIC,Primary_Ticker,Primary_Currency,Name,Country,Primary_Universe_Index,Yahoo_Mapping_Status,Pre_Status,Pre_Reason,Pre_Price_Rows,Post_Status,Post_Reason,Post_Price_Rows,Post_Unique_Bars,Post_Valid_Bars,Post_Repaired_Rows,Post_Suspicious_Returns,Post_First_Day,Post_Last_Day,Provider_Data_Returned,Controlled_Result,Eligibility_Promoted,Universe_Mutated,Mapping_Override_Created
WS:XAMS:AEGN.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AEGN.AS,NORMAL_FIXED_WINDOW,False,XAMS,AEGN.AS,EUR,AEGON,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:AKZO.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,AKZO.AS,NORMAL_FIXED_WINDOW,False,XAMS,AKZO.AS,EUR,AKZO NOBEL,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:ARDS.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ARDS.AS,NORMAL_FIXED_WINDOW,False,XAMS,ARDS.AS,EUR,ARCADIS,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:ASMI.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,ASMI.AS,NORMAL_FIXED_WINDOW,False,XAMS,ASMI.AS,EUR,ASM INTERNATIONAL,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:BAMN.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,BAMN.AS,NORMAL_FIXED_WINDOW,False,XAMS,BAMN.AS,EUR,BAM GROEP KON.,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:EXOR.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,EXOR.AS,NORMAL_FIXED_WINDOW,False,XAMS,EXOR.AS,EUR,EXOR NV,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:MICCT.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,MICCT.AS,NORMAL_FIXED_WINDOW,False,XAMS,MICCT.AS,EUR,THE MAGNUM ICE CREAM COMPANY,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:PHG.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,PHG.AS,NORMAL_FIXED_WINDOW,False,XAMS,PHG.AS,EUR,PHILIPS,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:SHEL.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,SHEL.AS,NORMAL_FIXED_WINDOW,False,XAMS,SHEL.AS,EUR,SHELL,GB,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
WS:XAMS:VOPA.AS,MAPPING,EXACT_PROVIDER_SYMBOL_NO_DATA,VOPA.AS,NORMAL_FIXED_WINDOW,False,XAMS,VOPA.AS,EUR,VOPAK,NL,EU_STOXX600,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,0,,,False,RESIDUAL_NO_DATA,False,False,False
