ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:BVMF:NATU3,NATU3.SA,FROZEN_V0_39_DQ_REPAIR,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,297,297,0,1,0.013468013468013467,2025-06-26,2026-08-31,2026-09-02T15:39:48+00:00,YF-20260902T153947424181-b0a22dc7-R,
WS:XAMS:AEGN.AS,AEGN.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:AKZO.AS,AKZO.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:ARDS.AS,ARDS.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:ASMI.AS,ASMI.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:BAMN.AS,BAMN.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:CSG.AS,CSG.AS,FROZEN_V0_39_DQ_REPAIR,WARMUP,INSUFFICIENT_HISTORY,154,154,0,0,0.0,2026-01-23,2026-08-31,2026-09-02T15:39:48+00:00,YF-20260902T153947424181-b0a22dc7-R,
WS:XAMS:EXOR.AS,EXOR.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:MICCT.AS,MICCT.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:PHG.AS,PHG.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XAMS:SHEL.AS,SHEL.AS,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
