ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:BVMF:NATU3,NATU3.SA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,296,296,0,1,0.013513513513513514,2025-06-26,2026-08-28,2026-09-01T04:50:04+00:00,YF-20260901T045004149351-78862e8c-R,NO_DATA_IN_BATCH
WS:XAMS:AEGN.AS,AEGN.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:AKZO.AS,AKZO.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:ARDS.AS,ARDS.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:ASMI.AS,ASMI.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:BAMN.AS,BAMN.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:CSG.AS,CSG.AS,DERIVED_RULE_NORMALIZED,QUARANTINE,INVALID_OHLC_OR_VOLUME,154,153,0,0,0.0,2026-01-23,2026-08-28,2026-09-01T04:50:04+00:00,YF-20260901T045004149351-78862e8c-R,NO_DATA_IN_BATCH
WS:XAMS:EXOR.AS,EXOR.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:MICCT.AS,MICCT.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:PHG.AS,PHG.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:SHEL.AS,SHEL.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
WS:XAMS:VOPA.AS,VOPA.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:49:51+00:00,YF-20260901T044941520671-c5772feb,NO_DATA_IN_BATCH
