WS_ID,Gap_Family,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Source_State,Source_Reason,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Static_Symbol_Relation,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Candidate_Override,Terminal_Blocked,Network_Required_For_Next_Step
WS:XAMS:ABND.AS,MAPPING,EU_STOXX600,XAMS,ABNd.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ABNd.AS,ABND.AS,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XAMS:AEGN.AS,MAPPING,EU_STOXX600,XAMS,AEGN.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AEGN.AS,AEGN.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:AKZO.AS,MAPPING,EU_STOXX600,XAMS,AKZO.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AKZO.AS,AKZO.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:ARDS.AS,MAPPING,EU_STOXX600,XAMS,ARDS.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ARDS.AS,ARDS.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:ASMI.AS,MAPPING,EU_STOXX600,XAMS,ASMI.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ASMI.AS,ASMI.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:BAMN.AS,MAPPING,EU_STOXX600,XAMS,BAMN.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,BAMN.AS,BAMN.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:EXOR.AS,MAPPING,EU_STOXX600,XAMS,EXOR.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,EXOR.AS,EXOR.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:MICCT.AS,MAPPING,EU_STOXX600,XAMS,MICCT.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,MICCT.AS,MICCT.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:PHG.AS,MAPPING,EU_STOXX600,XAMS,PHG.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,PHG.AS,PHG.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:SHEL.AS,MAPPING,EU_STOXX600,XAMS,SHEL.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,SHEL.AS,SHEL.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XAMS:VOPA.AS,MAPPING,EU_STOXX600,XAMS,VOPA.AS,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,VOPA.AS,VOPA.AS,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XBRU:AGES.BR,MAPPING,EU_STOXX600,XBRU,AGES.BR,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AGES.BR,AGES.BR,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XBRU:AOO.BR,MAPPING,EU_STOXX600,XBRU,AOO.BR,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,AOO.BR,AOO.BR,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XBRU:IETB.BR,MAPPING,EU_STOXX600,XBRU,IETB.BR,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,IETB.BR,IETB.BR,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XBRU:WDPP.BR,MAPPING,EU_STOXX600,XBRU,WDPP.BR,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,WDPP.BR,WDPP.BR,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XCSE:ALKB.CO,MAPPING,EU_STOXX600,XCSE,ALKb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ALKb.CO,ALKB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XCSE:CARLB.CO,MAPPING,EU_STOXX600,XCSE,CARLb.CO,DKK,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,CARLb.CO,CARLB.CO,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
