WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Mapping_Current_State,Mapping_Current_Reason,Audit_Action,Included_In_Audit_Target_249
WS:BVMF:BBDC4,BR_IBRX100,BVMF,BBDC4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:BPAC11,BR_IBRX100,BVMF,BPAC11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:BRAP4,BR_IBRX100,BVMF,BRAP4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:CMIG4,BR_IBRX100,BVMF,CMIG4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:ENGI11,BR_IBRX100,BVMF,ENGI11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:GGBR4,BR_IBRX100,BVMF,GGBR4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:GOAU4,BR_IBRX100,BVMF,GOAU4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:IGTI11,BR_IBRX100,BVMF,IGTI11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:ISAE4,BR_IBRX100,BVMF,ISAE4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:ITSA4,BR_IBRX100,BVMF,ITSA4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:ITUB4,BR_IBRX100,BVMF,ITUB4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:KLBN11,BR_IBRX100,BVMF,KLBN11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:PETR4,BR_IBRX100,BVMF,PETR4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:POMO4,BR_IBRX100,BVMF,POMO4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:RAPT4,BR_IBRX100,BVMF,RAPT4,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:SANB11,BR_IBRX100,BVMF,SANB11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:SAPR11,BR_IBRX100,BVMF,SAPR11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:TAEE11,BR_IBRX100,BVMF,TAEE11,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
WS:BVMF:USIM5,BR_IBRX100,BVMF,USIM5,BRL,MAPPING_NOT_REQUESTED_INSTRUMENT_FAIL,STRUCTURAL_INSTRUMENT_FAIL,PROTECTED_INSTRUMENT_FAIL_NO_DATA_REMEDIATION,False
