Currency_Normalized,FX_Status,FX_Source_Symbol,Direction,First_FX_Date,Last_FX_Date,Rows
EUR,FX_RESOLVED,EUR_IDENTITY,IDENTITY,2026-08-31,2026-08-31,1
BRL,FX_RESOLVED,BRLEUR=X,DIRECT,2026-03-02,2026-08-31,131
CAD,FX_RESOLVED,CADEUR=X,DIRECT,2026-03-02,2026-08-31,131
CHF,FX_RESOLVED,CHFEUR=X,DIRECT,2026-03-02,2026-08-31,131
CNY,FX_RESOLVED,CNYEUR=X,DIRECT,2026-03-02,2026-08-31,131
DKK,FX_RESOLVED,DKKEUR=X,DIRECT,2026-03-02,2026-08-31,131
GBP,FX_RESOLVED,GBPEUR=X,DIRECT,2026-03-02,2026-08-31,131
HKD,FX_RESOLVED,HKDEUR=X,DIRECT,2026-03-02,2026-08-31,131
INR,FX_RESOLVED,INREUR=X,DIRECT,2026-03-02,2026-08-31,131
JPY,FX_RESOLVED,JPYEUR=X,DIRECT,2026-03-02,2026-08-31,131
NOK,FX_RESOLVED,NOKEUR=X,DIRECT,2026-03-02,2026-08-31,131
PLN,FX_RESOLVED,PLNEUR=X,DIRECT,2026-03-02,2026-08-31,131
SEK,FX_RESOLVED,SEKEUR=X,DIRECT,2026-03-02,2026-08-31,131
TWD,FX_RESOLVED,TWDEUR=X,DIRECT,NaT,NaT,0
USD,FX_RESOLVED,USDEUR=X,DIRECT,2026-03-02,2026-08-31,131
