WS_ID,Yahoo_Symbol,Cache_Status,Cache_Reason,Unique_Daily_Bars,Valid_Completed_Bars,First_Valid_Bar,Last_Completed_Bar,Repaired_Rows,Suspicious_Returns,Zero_Volume_Share,History_Current_State,Global_EOD_Safe_Cutoff,Fetch_Timestamp_UTC
WS:ISIN:INE002A01018,RELIANCE.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE009A01021,INFY.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE018A01030,LT.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE019A01038,JSWSTEEL.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE021A01026,ASIANPAINT.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE027H01010,MAXHEALTH.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE030A01027,HINDUNILVR.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE038A01020,HINDALCO.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE040A01034,HDFCBANK.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE044A01036,SUNPHARMA.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE047A01021,GRASIM.NS,READY,,498,498,2024-09-02,2026-08-28,0,0,0.010040160642570281,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE059A01026,CIPLA.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE062A01020,SBIN.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE066A01021,EICHERMOT.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE075A01022,WIPRO.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE081A01020,TATASTEEL.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE089A01031,DRREDDY.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
WS:ISIN:INE090A01021,ICICIBANK.NS,READY,,499,499,2024-09-02,2026-08-31,0,0,0.01002004008016032,PASS_HISTORY_CURRENT,2026-08-31,2026-09-01T04:46:14+00:00
