WS_ID,Primary_MIC,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Liquidity_Last_Session,Usable_Sessions20,FX_Coverage20,MedianTurnover20_EUR,Liquidity_Current_State,Liquidity_Current_Gate,Prior_Liquidity_State,FX_Status,Evidence_AsOf
WS:ISIN:INE002A01018,XNSE,INR,INR,1.0,2026-08-31,20,20,116092317.74272555,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE009A01021,XNSE,INR,INR,1.0,2026-08-31,20,20,85706994.15682045,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE018A01030,XNSE,INR,INR,1.0,2026-08-31,20,20,49103714.52770196,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE019A01038,XNSE,INR,INR,1.0,2026-08-31,20,20,17852748.7545727,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE021A01026,XNSE,INR,INR,1.0,2026-08-31,20,20,16220135.40048803,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE027H01010,XNSE,INR,INR,1.0,2026-08-31,20,20,16669402.46399214,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE030A01027,XNSE,INR,INR,1.0,2026-08-31,20,20,20713348.18266911,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE038A01020,XNSE,INR,INR,1.0,2026-08-28,20,20,39056887.631969556,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE040A01034,XNSE,INR,INR,1.0,2026-08-31,20,20,142256035.2798948,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE044A01036,XNSE,INR,INR,1.0,2026-08-31,20,20,26972774.333892286,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE047A01021,XNSE,INR,INR,1.0,2026-08-28,20,20,31639190.95997699,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE059A01026,XNSE,INR,INR,1.0,2026-08-31,20,20,9854527.686521716,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:INE062A01020,XNSE,INR,INR,1.0,2026-08-31,20,20,74547233.56940481,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE066A01021,XNSE,INR,INR,1.0,2026-08-31,20,20,24588811.146303654,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE075A01022,XNSE,INR,INR,1.0,2026-08-31,20,20,12835318.763130818,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:INE081A01020,XNSE,INR,INR,1.0,2026-08-31,20,20,39245459.39200002,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE089A01031,XNSE,INR,INR,1.0,2026-08-31,20,20,19224582.627052646,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE090A01021,XNSE,INR,INR,1.0,2026-08-31,20,20,120248056.01657584,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE101A01026,XNSE,INR,INR,1.0,2026-08-31,20,20,52618841.474584706,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE123W01016,XNSE,INR,INR,1.0,2026-08-31,20,20,13119266.401939338,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:INE154A01025,XNSE,INR,INR,1.0,2026-08-31,20,20,30736925.00998172,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE155A01022,XNSE,INR,INR,1.0,2026-08-31,20,20,23400616.76204367,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE192A01025,XNSE,INR,INR,1.0,2026-08-31,20,20,11258281.756136764,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
WS:ISIN:INE213A01029,XNSE,INR,INR,1.0,2026-08-28,20,20,24364161.27511967,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE237A01036,XNSE,INR,INR,1.0,2026-08-31,20,20,36825738.61552933,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE238A01034,XNSE,INR,INR,1.0,2026-08-28,20,20,52131297.44973051,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE239A01024,XNSE,INR,INR,1.0,2026-08-31,20,20,23604676.69789141,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE263A01024,XNSE,INR,INR,1.0,2026-08-31,20,20,34717614.71566627,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE280A01028,XNSE,INR,INR,1.0,2026-08-31,20,20,26196461.448945634,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE296A01032,XNSE,INR,INR,1.0,2026-08-28,20,20,47471317.617112786,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE397D01024,XNSE,INR,INR,1.0,2026-08-31,20,20,99633968.48774827,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE423A01024,XNSE,INR,INR,1.0,2026-08-31,20,20,24539943.76095742,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE437A01024,XNSE,INR,INR,1.0,2026-08-28,20,20,23475722.317748994,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE467B01029,XNSE,INR,INR,1.0,2026-08-31,20,20,49605642.56983438,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE481G01011,XNSE,INR,INR,1.0,2026-08-28,20,20,21844639.04759705,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE522F01014,XNSE,INR,INR,1.0,2026-08-31,20,20,19511107.403258532,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE585B01010,XNSE,INR,INR,1.0,2026-08-31,20,20,34793280.69207938,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE646L01027,XNSE,INR,INR,1.0,2026-08-31,20,20,19291391.437173773,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE669C01036,XNSE,INR,INR,1.0,2026-08-31,20,20,30398883.442293458,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE721A01047,XNSE,INR,INR,1.0,2026-08-31,20,20,34124071.29115852,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE733E01010,XNSE,INR,INR,1.0,2026-08-31,20,20,23225718.91392939,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE742F01042,XNSE,INR,INR,1.0,2026-08-31,20,20,27294137.49737721,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE752E01010,XNSE,INR,INR,1.0,2026-08-31,20,20,18458330.951314714,PASS_STANDARD,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE758E01017,XNSE,INR,INR,1.0,2026-08-31,20,20,22081904.326629996,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE758T01015,XNSE,INR,INR,1.0,2026-08-31,20,20,78475859.00037341,PASS_PREFERRED,PASS,,FX_RESOLVED,2026-08-31
WS:ISIN:INE795G01014,XNSE,INR,INR,1.0,2026-08-31,20,20,12818215.533114031,LOW_LIQUIDITY_EXCEPTION_POOL,EXCEPTION,,FX_RESOLVED,2026-08-31
