WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion,Remediation_Action,Automatic_Override_Created
WS:XAMS:ABND.AS,EU_STOXX600,XAMS,ABNd.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ABNd.AS,ABND.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:AEGN.AS,EU_STOXX600,XAMS,AEGN.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AEGN.AS,AEGN.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:AKZO.AS,EU_STOXX600,XAMS,AKZO.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,AKZO.AS,AKZO.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:ARDS.AS,EU_STOXX600,XAMS,ARDS.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ARDS.AS,ARDS.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:ASMI.AS,EU_STOXX600,XAMS,ASMI.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ASMI.AS,ASMI.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:BAMN.AS,EU_STOXX600,XAMS,BAMN.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BAMN.AS,BAMN.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:EXOR.AS,EU_STOXX600,XAMS,EXOR.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,EXOR.AS,EXOR.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:MICCT.AS,EU_STOXX600,XAMS,MICCT.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,MICCT.AS,MICCT.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:PHG.AS,EU_STOXX600,XAMS,PHG.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,PHG.AS,PHG.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XAMS:SHEL.AS,EU_STOXX600,XAMS,SHEL.AS,EUR,MAPPING_PRESENT_NOT_REVALIDATED,SHEL.AS,SHEL.AS,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
