WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:INE002A01018,IN_NIFTY50,XNSE,RELIANCE,INR,MAPPING_PRESENT_NOT_REVALIDATED,RELIANCE,RELIANCE.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE009A01021,IN_NIFTY50,XNSE,INFY,INR,MAPPING_PRESENT_NOT_REVALIDATED,INFY,INFY.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE018A01030,IN_NIFTY50,XNSE,LT,INR,MAPPING_PRESENT_NOT_REVALIDATED,LT,LT.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE019A01038,IN_NIFTY50,XNSE,JSWSTEEL,INR,MAPPING_PRESENT_NOT_REVALIDATED,JSWSTEEL,JSWSTEEL.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE021A01026,IN_NIFTY50,XNSE,ASIANPAINT,INR,MAPPING_PRESENT_NOT_REVALIDATED,ASIANPAINT,ASIANPAINT.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE027H01010,IN_NIFTY50,XNSE,MAXHEALTH,INR,MAPPING_PRESENT_NOT_REVALIDATED,MAXHEALTH,MAXHEALTH.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE030A01027,IN_NIFTY50,XNSE,HINDUNILVR,INR,MAPPING_PRESENT_NOT_REVALIDATED,HINDUNILVR,HINDUNILVR.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE038A01020,IN_NIFTY50,XNSE,HINDALCO,INR,MAPPING_PRESENT_NOT_REVALIDATED,HINDALCO,HINDALCO.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE040A01034,IN_NIFTY50,XNSE,HDFCBANK,INR,MAPPING_PRESENT_NOT_REVALIDATED,HDFCBANK,HDFCBANK.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:INE044A01036,IN_NIFTY50,XNSE,SUNPHARMA,INR,MAPPING_PRESENT_NOT_REVALIDATED,SUNPHARMA,SUNPHARMA.NS,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
