Segment_ID,Primary_MIC,Rows,Requested,Data_Returned,History_Current_PASS,Last_Completed_Session_Min,Last_Completed_Session_Max,Global_EOD_Safe_Cutoff,Fetch_Timestamp_UTC
BR_IBRX100,BVMF,98,79,98,77,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
CA_TSX,XTSE,217,217,217,215,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
CN_CSI300,XSHE,111,111,111,110,2026-08-31,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
CN_CSI300,XSHG,189,189,189,189,2026-08-31,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XAMS,35,35,24,23,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XBRU,17,17,13,13,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XCSE,23,23,15,15,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XDUB,6,6,3,3,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XETR,70,70,7,7,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XHEL,19,19,17,17,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XLIS,5,5,5,5,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XLON,124,124,106,105,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XMAD,28,28,22,22,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XMIL,40,40,23,23,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XOSL,24,24,23,22,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XPAR,69,69,20,19,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XSTO,53,53,15,14,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XSWX,60,60,53,53,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XWAR,18,18,14,14,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
EU_STOXX600,XWBO,9,9,1,1,2026-08-28,2026-08-28,2026-08-31,2026-09-01T04:46:04+00:00
HK_HSI,XHKG,93,93,93,93,2026-08-31,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
IN_NIFTY50,XNSE,50,50,50,50,2026-08-28,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
JP_N225,XTKS,225,225,225,225,2026-08-31,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
TW_TW50,XTAI,50,50,50,50,2026-08-31,2026-08-31,2026-08-31,2026-09-01T04:46:04+00:00
