Batch_ID,Source_ID,Started_UTC,Finished_UTC,Request_Type,Requested_Symbol_Count,Received_Symbol_Count,Missing_Symbol_Count,Retry_Count,Repair_Pass,Status,Error
YF-20260901T044605909296-35ec81b4,YFINANCE_FREE,2026-09-01T04:46:05+00:00,2026-09-01T04:46:14+00:00,NORMAL,100,99,1,0,0,PARTIAL,
YF-20260901T044618827782-3be34665,YFINANCE_FREE,2026-09-01T04:46:18+00:00,2026-09-01T04:46:30+00:00,NORMAL,100,54,46,0,0,PARTIAL,
YF-20260901T044632560179-bc673c88,YFINANCE_FREE,2026-09-01T04:46:32+00:00,2026-09-01T04:46:42+00:00,NORMAL,100,56,44,0,0,PARTIAL,
YF-20260901T044645188311-5f8582b0,YFINANCE_FREE,2026-09-01T04:46:45+00:00,2026-09-01T04:46:55+00:00,NORMAL,100,92,8,0,0,PARTIAL,
YF-20260901T044659352114-3a7194ae,YFINANCE_FREE,2026-09-01T04:46:59+00:00,2026-09-01T04:47:10+00:00,NORMAL,100,88,12,0,0,PARTIAL,
YF-20260901T044714130603-66492fbf,YFINANCE_FREE,2026-09-01T04:47:14+00:00,2026-09-01T04:47:24+00:00,NORMAL,100,67,33,0,0,PARTIAL,
YF-20260901T044726955458-9e16f6e6,YFINANCE_FREE,2026-09-01T04:47:26+00:00,2026-09-01T04:47:36+00:00,NORMAL,100,62,38,0,0,PARTIAL,
YF-20260901T044739234867-1c7dbeb5,YFINANCE_FREE,2026-09-01T04:47:39+00:00,2026-09-01T04:47:48+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044752562184-7deca58c,YFINANCE_FREE,2026-09-01T04:47:52+00:00,2026-09-01T04:48:01+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044805631943-c4096242,YFINANCE_FREE,2026-09-01T04:48:05+00:00,2026-09-01T04:48:13+00:00,NORMAL,100,63,37,0,0,PARTIAL,
YF-20260901T044816543461-74fadf0e,YFINANCE_FREE,2026-09-01T04:48:16+00:00,2026-09-01T04:48:27+00:00,NORMAL,100,92,8,0,0,PARTIAL,
YF-20260901T044830893686-cf216bac,YFINANCE_FREE,2026-09-01T04:48:30+00:00,2026-09-01T04:48:41+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044845839801-2582cfe8,YFINANCE_FREE,2026-09-01T04:48:45+00:00,2026-09-01T04:48:55+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044859850472-a3b7fa12,YFINANCE_FREE,2026-09-01T04:48:59+00:00,2026-09-01T04:49:08+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044912481190-5a6f3ed1,YFINANCE_FREE,2026-09-01T04:49:12+00:00,2026-09-01T04:49:21+00:00,NORMAL,100,100,0,0,0,SUCCESS,
YF-20260901T044925862513-b9dd233c,YFINANCE_FREE,2026-09-01T04:49:25+00:00,2026-09-01T04:49:35+00:00,NORMAL,100,88,12,0,0,PARTIAL,
YF-20260901T044939380288-afc3b310,YFINANCE_FREE,2026-09-01T04:49:39+00:00,2026-09-01T04:49:40+00:00,NORMAL,14,14,0,0,0,SUCCESS,
YF-20260901T044941520671-c5772feb,YFINANCE_FREE,2026-09-01T04:49:41+00:00,2026-09-01T04:49:51+00:00,RESCUE,100,0,100,0,0,PARTIAL,
YF-20260901T044951222880-ea84d0a7,YFINANCE_FREE,2026-09-01T04:49:51+00:00,2026-09-01T04:50:00+00:00,RESCUE,100,0,100,0,0,PARTIAL,
YF-20260901T045000095543-3f6ee8f4,YFINANCE_FREE,2026-09-01T04:50:00+00:00,2026-09-01T04:50:04+00:00,RESCUE,39,0,39,0,0,PARTIAL,
YF-20260901T045004149351-78862e8c-R,YFINANCE_FREE,2026-09-01T04:50:04+00:00,2026-09-01T04:50:04+00:00,REPAIR,7,0,7,0,1,PARTIAL,
