WS_ID,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_AsOf_UTC,Evidence_Status
WS:XAMS:ABND.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:AEGN.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:AKZO.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:ARDS.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:ASMI.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:BAMN.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:EXOR.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:MICCT.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:PHG.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:SHEL.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XAMS:VOPA.AS,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XBRU:AGES.BR,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XBRU:AOO.BR,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XBRU:IETB.BR,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XBRU:WDPP.BR,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:ALKB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:CARLB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:COLOB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:MAERSKB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:NOVOB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:NSISB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:ROCKB.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XCSE:ZELA.CO,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XDUB:AIBG.I,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XDUB:KSP.I,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XDUB:KYGA.I,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:ADSGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:AG1G.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:AIXGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:ALVG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:AMV0N.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BASFN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BAYGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BC8G.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BEIG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BMWG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:BNRGN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:CBKG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:CONG.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XETR:DB1GN.DE,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
