Primary_Ticker_Candidate,Security_Name_Official,B3_Type,Theoretical_Quantity,Participation_Pct,Segment_ID,Primary_MIC_Candidate,Source_ID,Source_URL,Source_AsOf_Observed_UTC,Canonical_Import_v0_30,Identity_Reconciliation_Required
ALOS3,ALLOS,ON  ED  NM,478.558.715,"0,479",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864269+00:00,False,True
ABEV3,AMBEV S/A,ON,4.273.841.357,"2,461",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864290+00:00,False,True
ANIM3,ANIMA,ON      NM,256.720.485,"0,027",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864295+00:00,False,True
ASAI3,ASSAI,ON      NM,1.338.623.499,"0,414",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864300+00:00,False,True
AURE3,AUREN,ON      NM,317.799.925,"0,130",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864304+00:00,False,True
AXIA3,AXIA ENERGIA,ON      NM,2.156.759.550,"4,342",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864307+00:00,False,True
AZZA3,AZZAS 2154,ON      NM,109.571.260,"0,061",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864311+00:00,False,True
B3SA3,B3,ON      NM,4.997.059.816,"3,039",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864315+00:00,False,True
BBSE3,BBSEGURIDADE,ON      NM,616.248.544,"0,935",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864319+00:00,False,True
BBDC3,BRADESCO,ON      N1,1.548.223.583,"0,883",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864322+00:00,False,True
BBDC4,BRADESCO,PN      N1,5.392.761.254,"3,492",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864327+00:00,False,True
BRAP4,BRADESPAR,PN      N1,250.914.708,"0,211",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864331+00:00,False,True
SAUD3,BRADSAUDE,ON      NM,251.735.971,"0,134",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864336+00:00,False,True
BBAS3,BRASIL,ON      NM,2.842.496.541,"2,174",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864339+00:00,False,True
BRAV3,BRAVA,ON      NM,346.772.300,"0,224",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864343+00:00,False,True
BPAC11,BTGP BANCO,UNT     N2,1.194.624.560,"2,427",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864347+00:00,False,True
CXSE3,CAIXA SEGURI,ON      NM,600.000.000,"0,439",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864350+00:00,False,True
