WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XAMS:ABND.AS,ABN.AS,ABN AMRO BANK,XAMS,PREFERRED,65638802.28,ordinary share represented by depositary receipts,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:AEGN.AS,AGN.AS,AEGON,XAMS,PREFERRED,29923948.6,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:AKZO.AS,AKZA.AS,AKZO NOBEL,XAMS,PREFERRED,21521880.01,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:ARDS.AS,ARCAD.AS,ARCADIS,XAMS,LOW_EXCEPTION,6354351.91,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XAMS:ASMI.AS,ASM.AS,ASM INTERNATIONAL,XAMS,PREFERRED,102295655.66,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:BAMN.AS,BAMNB.AS,BAM GROEP KON.,XAMS,LOW_EXCEPTION,7033706.25,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XAMS:EXOR.AS,EXO.AS,EXOR NV,XAMS,LOW_EXCEPTION,9021921.12,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XAMS:PHG.AS,PHIA.AS,PHILIPS,XAMS,PREFERRED,31494127.58,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:SHEL.AS,SHELL.AS,SHELL,XAMS,PREFERRED,153459841.39,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XAMS:VOPA.AS,VPK.AS,VOPAK,XAMS,FAIL_LIQ,4017976.04,ordinary shares,ORDINARY_LIKE,FAIL_LIQUIDITY,NO
WS:XBRU:AGES.BR,AGS.BR,AGEAS,XBRU,STANDARD,15893045.04,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XBRU:AOO.BR,AED.BR,AEDIFICA,XBRU,LOW_EXCEPTION,6502727.6,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XBRU:IETB.BR,DIE.BR,D'IETEREN GROUP,XBRU,LOW_EXCEPTION,5383990.19,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XBRU:WDPP.BR,WDP.BR,WDP,XBRU,LOW_EXCEPTION,6684747.14,ordinary shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XCSE:ALKB.CO,ALK-B.CO,ALK-ABELLO B,XCSE,LOW_EXCEPTION,5719012.89,B shares,ORDINARY_LIKE,EXCEPTION_POOL,NO
WS:XCSE:CARLB.CO,CARL-B.CO,CARLSBERG B,XCSE,PREFERRED,25400125.46,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:COLOB.CO,COLO-B.CO,COLOPLAST B,XCSE,STANDARD,19718977.39,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:MAERSKB.CO,MAERSK-B.CO,A.P.MOLLER-MAERSK B,XCSE,PREFERRED,42677963.1,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:NOVOB.CO,NOVO-B.CO,NOVO NORDISK B,XCSE,PREFERRED,158003835.08,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:NSISB.CO,NSIS-B.CO,NOVONESIS,XCSE,PREFERRED,26887196.26,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:ROCKB.CO,ROCK-B.CO,ROCKWOOL B,XCSE,STANDARD,15437842.03,B shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XCSE:ZELA.CO,ZEAL.CO,ZEALAND PHARMA,XCSE,STANDARD,16186801.63,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XDUB:AIBG.I,A5G.IR,AIB GROUP,XDUB,PREFERRED,39884657.28,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
