Primary_Universe_Index,Remediation_Class_v0_23,Current_Evidence_State_v0_24,Recommended_Next_Action_v0_24,Rows
US_SP1500,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,26
ZA_TOP40,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,9
EU_STOXX600,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,8
AU_ASX200,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,5
AU_ASX200,DATA_OR_FX_VERIFICATION_CANDIDATE,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,3
BR_IBRX100,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,2
CA_TSX,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,2
CN_CSI300,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,1
CN_CSI300,DATA_OR_FX_VERIFICATION_CANDIDATE,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,1
KR_KOSPI200,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,1
KR_KOSPI200,DATA_OR_FX_VERIFICATION_CANDIDATE,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,1
NZ_NZX50,DATA_HISTORY_REMEDIATION_CANDIDATE,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,1
