Country,Primary_MIC,Rows,Unique_Primary_Tickers,Unique_Yahoo_Symbols,Preferred_Source_Class_v0_24,Required_Security_Fields_v0_24,Deterministic_Match_Key_v0_24,Ambiguous_Mapping_Policy_v0_24,Per_Security_Web_Fanout_Allowed_v0_24,Route_Status_v0_24
GB,XLON,82,82,82,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
DE,XETR,53,53,53,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
FR,XPAR,45,45,45,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
CH,XSWX,34,34,34,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
IT,XMIL,32,32,32,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
SE,XSTO,25,25,25,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
NL,XAMS,19,19,19,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
ES,XMAD,17,17,17,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
DK,XCSE,11,11,11,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
NO,XOSL,11,11,11,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
PL,XWAR,10,10,10,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
FI,XHEL,7,7,7,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
IE,XDUB,5,5,5,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
AT,XWBO,4,4,4,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
BE,XBRU,4,4,4,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
PT,XLIS,4,4,4,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
FR,XAMS,1,1,1,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED
