Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Coverage_Feasibility,Earliest_Blocker,Earliest_Failed_Gate,Sector_Taxonomy_Value_Materialized,Sector_Code_Value_Materialized,Sector_Name_Value_Materialized
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
11,WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
12,WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
13,WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
14,WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
15,WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,ENEV3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
16,WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,EQTL3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
17,WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,LREN3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
18,WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,BR_IBRX100,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND,B,NO,NO,NO
