Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Identity_Gate_Status,Deterministic_WS_ID_Proven,Reason
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,BR_IBRX100,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_FOUND
