batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260823T230634953361-b9c886b6-R,YFINANCE_FREE,2026-08-23T23:06:34+00:00,2026-08-23T23:06:35+00:00,5,0,5,0,1,PARTIAL,
YF-20260823T230632999374-221e5dbb-R,YFINANCE_FREE,2026-08-23T23:06:32+00:00,2026-08-23T23:06:34+00:00,25,0,25,0,1,PARTIAL,
YF-20260823T230631313301-38920382-R,YFINANCE_FREE,2026-08-23T23:06:31+00:00,2026-08-23T23:06:32+00:00,25,0,25,0,1,PARTIAL,
YF-20260823T230629308485-063afe5b,YFINANCE_FREE,2026-08-23T23:06:29+00:00,2026-08-23T23:06:30+00:00,9,0,9,0,0,PARTIAL,
YF-20260823T230622712067-966dd479,YFINANCE_FREE,2026-08-23T23:06:22+00:00,2026-08-23T23:06:25+00:00,63,63,0,0,0,SUCCESS,
YF-20260823T230613076378-9776054c,YFINANCE_FREE,2026-08-23T23:06:13+00:00,2026-08-23T23:06:17+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230603515484-c5fa972d,YFINANCE_FREE,2026-08-23T23:06:03+00:00,2026-08-23T23:06:08+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230553979943-f188b865,YFINANCE_FREE,2026-08-23T23:05:53+00:00,2026-08-23T23:05:58+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230544483070-6e07d11d,YFINANCE_FREE,2026-08-23T23:05:44+00:00,2026-08-23T23:05:49+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230534881149-6e9c5553,YFINANCE_FREE,2026-08-23T23:05:34+00:00,2026-08-23T23:05:39+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230525099840-779cf045,YFINANCE_FREE,2026-08-23T23:05:25+00:00,2026-08-23T23:05:30+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230515647335-590890e0,YFINANCE_FREE,2026-08-23T23:05:15+00:00,2026-08-23T23:05:20+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230506104693-ce64cbcf,YFINANCE_FREE,2026-08-23T23:05:06+00:00,2026-08-23T23:05:10+00:00,100,100,0,0,0,SUCCESS,
YF-20260823T230456696379-30a24de9,YFINANCE_FREE,2026-08-23T23:04:56+00:00,2026-08-23T23:05:01+00:00,100,100,0,0,0,SUCCESS,
