WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XASX:360,Life360,,Australia,360,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:360,360.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:4DX,4DMedical,,Australia,4DX,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:4DX,4DX.AX,EXPLICIT,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,0,0,0.0039447731755424065,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:A2M,a2 Milk Company,,Australia,A2M,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:A2M,A2M.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AAI,Alcoa,,Australia,AAI,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AAI,AAI.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AFI,Australian Foundation Investment Company,,Australia,AFI,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AFI,AFI.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AGL,AGL Energy,,Australia,AGL,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AGL,AGL.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AIA,Auckland International Airport Limited,,Australia,AIA,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AIA,AIA.AX,EXPLICIT,READY,,508,508,0,0,0.003937007874015748,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:ALD,Ampol,,Australia,ALD,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ALD,ALD.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:ALK,Alkane Resources,,Australia,ALK,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ALK,ALK.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:ALL,Aristocrat Leisure,,Australia,ALL,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ALL,ALL.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:ALQ,ALS,,Australia,ALQ,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ALQ,ALQ.AX,EXPLICIT,READY,,508,508,0,0,0.001968503937007874,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:ALX,Atlas Arteria,,Australia,ALX,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ALX,ALX.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AMC,Amcor,,Australia,AMC,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AMC,AMC.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:AMP,AMP,,Australia,AMP,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:AMP,AMP.AX,EXPLICIT,READY,,508,508,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
