WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XASX:ASK,Abacus Storage King,,Australia,ASK,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:ASK,ASK.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,26,26,0,0,0.0,2026-07-17,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:L1G,L1 Group,,Australia,L1G,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:L1G,L1G.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,224,224,0,0,0.004464285714285714,2025-10-03,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:IFL,Insignia Financial,,Australia,IFL,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:IFL,IFL.AX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XASX:MSB,Mesoblast,,Australia,MSB,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:MSB,MSB.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.003937007874015748,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XASX:RYM,Ryman Healthcare,,Australia,RYM,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:RYM,RYM.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,223,223,0,0,0.07174887892376682,2025-10-06,2026-08-21,2026-08-23T23:00:49+00:00,YF-20260823T230044469876-679ca8b4,
WS:XASX:TUA,Tuas,,Australia,TUA,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:TUA,TUA.AX,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,0,1,0.001968503937007874,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XASX:NSR,National Storage,,Australia,NSR,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:NSR,NSR.AX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XASX:XYX,"Block, Inc.",,Australia,XYX,Australian Securities Exchange,XASX,AUD,AU_ASX200,AU_ASX200,WS:XASX:XYX,XYX.AX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:BVMF:AUAU3,AUAU3,,Brazil,AUAU3,B3,BVMF,BRL,BR_IBRX100,BR_IBRX100,WS:BVMF:AUAU3,AUAU3.SA,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,159,159,0,0,0.0,2026-01-05,2026-08-21,2026-08-23T23:00:59+00:00,YF-20260823T230054341938-cd389239,
WS:BVMF:NATU3,NATU3,,Brazil,NATU3,B3,BVMF,BRL,BR_IBRX100,BR_IBRX100,WS:BVMF:NATU3,NATU3.SA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,0,1,0.013745704467353952,2025-06-26,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XTSE:IAU,i-80 Gold Corp.,,Canada,IAU,Toronto Stock Exchange,XTSE,CAD,CA_TSX,CA_TSX,WS:XTSE:IAU,IAU.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XTSE:LAC,Lithium Americas Corp.,,Canada,LAC,Toronto Stock Exchange,XTSE,CAD,CA_TSX,CA_TSX,WS:XTSE:LAC,LAC.TO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XSHE:001280,"China National Uranium Co., Ltd.",,China,001280,Shenzhen Stock Exchange,XSHE,CNY,CN_CSI300,CN_CSI300,WS:XSHE:001280,001280.SZ,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,175,175,0,0,0.0,2025-12-03,2026-08-21,2026-08-23T23:01:28+00:00,YF-20260823T230123399520-7099386b,
WS:XAMS:CSG.AS,CSG A,,NL,CSG.AS,Euronext Amsterdam,XAMS,EUR,EU_STOXX600,EU_STOXX600,WS:XAMS:CSG.AS,CSG.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,148,148,0,0,0.0,2026-01-23,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,,NL,MICCT.AS,Euronext Amsterdam,XAMS,EUR,EU_STOXX600,EU_STOXX600,WS:XAMS:MICCT.AS,MICC.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,179,179,0,0,0.0,2025-12-08,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
