WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XASX:360,360.AX,EXPLICIT,360,XASX,AUD
WS:XASX:4DX,4DX.AX,EXPLICIT,4DX,XASX,AUD
WS:XASX:A2M,A2M.AX,EXPLICIT,A2M,XASX,AUD
WS:XASX:AAI,AAI.AX,EXPLICIT,AAI,XASX,AUD
WS:XASX:AFI,AFI.AX,EXPLICIT,AFI,XASX,AUD
WS:XASX:AGL,AGL.AX,EXPLICIT,AGL,XASX,AUD
WS:XASX:AIA,AIA.AX,EXPLICIT,AIA,XASX,AUD
WS:XASX:ALD,ALD.AX,EXPLICIT,ALD,XASX,AUD
WS:XASX:ALK,ALK.AX,EXPLICIT,ALK,XASX,AUD
WS:XASX:ALL,ALL.AX,EXPLICIT,ALL,XASX,AUD
WS:XASX:ALQ,ALQ.AX,EXPLICIT,ALQ,XASX,AUD
WS:XASX:ALX,ALX.AX,EXPLICIT,ALX,XASX,AUD
WS:XASX:AMC,AMC.AX,EXPLICIT,AMC,XASX,AUD
WS:XASX:AMP,AMP.AX,EXPLICIT,AMP,XASX,AUD
WS:XASX:ANN,ANN.AX,EXPLICIT,ANN,XASX,AUD
WS:XASX:ANZ,ANZ.AX,EXPLICIT,ANZ,XASX,AUD
WS:XASX:APA,APA.AX,EXPLICIT,APA,XASX,AUD
WS:XASX:APE,APE.AX,EXPLICIT,APE,XASX,AUD
WS:XASX:ARB,ARB.AX,EXPLICIT,ARB,XASX,AUD
WS:XASX:ARG,ARG.AX,EXPLICIT,ARG,XASX,AUD
WS:XASX:ASB,ASB.AX,EXPLICIT,ASB,XASX,AUD
WS:XASX:ASK,ASK.AX,EXPLICIT,ASK,XASX,AUD
WS:XASX:ASX,ASX.AX,EXPLICIT,ASX,XASX,AUD
WS:XASX:AUB,AUB.AX,EXPLICIT,AUB,XASX,AUD
WS:XASX:AZJ,AZJ.AX,EXPLICIT,AZJ,XASX,AUD
WS:XASX:BEN,BEN.AX,EXPLICIT,BEN,XASX,AUD
WS:XASX:BFL,BFL.AX,EXPLICIT,BFL,XASX,AUD
WS:XASX:BGA,BGA.AX,EXPLICIT,BGA,XASX,AUD
WS:XASX:BGL,BGL.AX,EXPLICIT,BGL,XASX,AUD
WS:XASX:BHP,BHP.AX,EXPLICIT,BHP,XASX,AUD
WS:XASX:BOQ,BOQ.AX,EXPLICIT,BOQ,XASX,AUD
WS:XASX:BPT,BPT.AX,EXPLICIT,BPT,XASX,AUD
WS:XASX:BRG,BRG.AX,EXPLICIT,BRG,XASX,AUD
WS:XASX:BSL,BSL.AX,EXPLICIT,BSL,XASX,AUD
WS:XASX:BWP,BWP.AX,EXPLICIT,BWP,XASX,AUD
WS:XASX:BXB,BXB.AX,EXPLICIT,BXB,XASX,AUD
WS:XASX:CAR,CAR.AX,EXPLICIT,CAR,XASX,AUD
WS:XASX:CBA,CBA.AX,EXPLICIT,CBA,XASX,AUD
WS:XASX:CDA,CDA.AX,EXPLICIT,CDA,XASX,AUD
WS:XASX:CEN,CEN.AX,EXPLICIT,CEN,XASX,AUD
WS:XASX:CGF,CGF.AX,EXPLICIT,CGF,XASX,AUD
WS:XASX:CHC,CHC.AX,EXPLICIT,CHC,XASX,AUD
WS:XASX:CIA,CIA.AX,EXPLICIT,CIA,XASX,AUD
WS:XASX:CIP,CIP.AX,EXPLICIT,CIP,XASX,AUD
WS:XASX:CLW,CLW.AX,EXPLICIT,CLW,XASX,AUD
WS:XASX:CMM,CMM.AX,EXPLICIT,CMM,XASX,AUD
WS:XASX:CNU,CNU.AX,EXPLICIT,CNU,XASX,AUD
WS:XASX:COH,COH.AX,EXPLICIT,COH,XASX,AUD
WS:XASX:COL,COL.AX,EXPLICIT,COL,XASX,AUD
WS:XASX:CPU,CPU.AX,EXPLICIT,CPU,XASX,AUD
WS:XASX:CQR,CQR.AX,EXPLICIT,CQR,XASX,AUD
WS:XASX:CSC,CSC.AX,EXPLICIT,CSC,XASX,AUD
WS:XASX:CSL,CSL.AX,EXPLICIT,CSL,XASX,AUD
WS:XASX:CTD,CTD.AX,EXPLICIT,CTD,XASX,AUD
WS:XASX:CWY,CWY.AX,EXPLICIT,CWY,XASX,AUD
WS:XASX:CYL,CYL.AX,EXPLICIT,CYL,XASX,AUD
WS:XASX:DBI,DBI.AX,EXPLICIT,DBI,XASX,AUD
WS:XASX:DNL,DNL.AX,EXPLICIT,DNL,XASX,AUD
WS:XASX:DOW,DOW.AX,EXPLICIT,DOW,XASX,AUD
WS:XASX:DRO,DRO.AX,EXPLICIT,DRO,XASX,AUD
WS:XASX:DRR,DRR.AX,EXPLICIT,DRR,XASX,AUD
WS:XASX:DXS,DXS.AX,EXPLICIT,DXS,XASX,AUD
WS:XASX:DYL,DYL.AX,EXPLICIT,DYL,XASX,AUD
WS:XASX:EBO,EBO.AX,EXPLICIT,EBO,XASX,AUD
WS:XASX:EDV,EDV.AX,EXPLICIT,EDV,XASX,AUD
WS:XASX:EMR,EMR.AX,EXPLICIT,EMR,XASX,AUD
WS:XASX:EOS,EOS.AX,EXPLICIT,EOS,XASX,AUD
WS:XASX:EVN,EVN.AX,EXPLICIT,EVN,XASX,AUD
WS:XASX:EVT,EVT.AX,EXPLICIT,EVT,XASX,AUD
WS:XASX:FBU,FBU.AX,EXPLICIT,FBU,XASX,AUD
WS:XASX:FLT,FLT.AX,EXPLICIT,FLT,XASX,AUD
WS:XASX:FMG,FMG.AX,EXPLICIT,FMG,XASX,AUD
WS:XASX:FPH,FPH.AX,EXPLICIT,FPH,XASX,AUD
WS:XASX:FRW,FRW.AX,EXPLICIT,FRW,XASX,AUD
WS:XASX:GDG,GDG.AX,EXPLICIT,GDG,XASX,AUD
WS:XASX:GGP,GGP.AX,EXPLICIT,GGP,XASX,AUD
WS:XASX:GMD,GMD.AX,EXPLICIT,GMD,XASX,AUD
WS:XASX:GMG,GMG.AX,EXPLICIT,GMG,XASX,AUD
WS:XASX:GNE,GNE.AX,EXPLICIT,GNE,XASX,AUD
WS:XASX:GPT,GPT.AX,EXPLICIT,GPT,XASX,AUD
WS:XASX:GQG,GQG.AX,EXPLICIT,GQG,XASX,AUD
WS:XASX:HDN,HDN.AX,EXPLICIT,HDN,XASX,AUD
WS:XASX:HUB,HUB.AX,EXPLICIT,HUB,XASX,AUD
