batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260823T200646106831-7d798c4e-R,YFINANCE_FREE,2026-08-23T20:06:46+00:00,2026-08-23T20:06:46+00:00,1,0,1,0,1,PARTIAL,
YF-20260823T200644482214-79e8b087,YFINANCE_FREE,2026-08-23T20:06:44+00:00,2026-08-23T20:06:45+00:00,21,21,0,0,0,SUCCESS,
YF-20260823T200642183486-7cc051d3,YFINANCE_FREE,2026-08-23T20:06:42+00:00,2026-08-23T20:06:43+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200640467806-05b56238,YFINANCE_FREE,2026-08-23T20:06:40+00:00,2026-08-23T20:06:41+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200638718616-29f657af,YFINANCE_FREE,2026-08-23T20:06:38+00:00,2026-08-23T20:06:39+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200636853273-8d749e5e,YFINANCE_FREE,2026-08-23T20:06:36+00:00,2026-08-23T20:06:38+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200635112776-84feaac0,YFINANCE_FREE,2026-08-23T20:06:35+00:00,2026-08-23T20:06:36+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200633248000-5b198592,YFINANCE_FREE,2026-08-23T20:06:33+00:00,2026-08-23T20:06:34+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T200631866945-d364c542,YFINANCE_FREE,2026-08-23T20:06:31+00:00,2026-08-23T20:06:32+00:00,9,9,0,0,0,SUCCESS,
YF-20260823T194139446369-705f28c3-R,YFINANCE_FREE,2026-08-23T19:41:39+00:00,2026-08-23T19:41:39+00:00,2,0,2,0,1,PARTIAL,
YF-20260823T194136984905-d4043ba6,YFINANCE_FREE,2026-08-23T19:41:36+00:00,2026-08-23T19:41:38+00:00,29,29,0,0,0,SUCCESS,
YF-20260823T194135098869-721405ad,YFINANCE_FREE,2026-08-23T19:41:35+00:00,2026-08-23T19:41:36+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T194132799622-9d65a0b8,YFINANCE_FREE,2026-08-23T19:41:32+00:00,2026-08-23T19:41:34+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T194130471334-329df8a6,YFINANCE_FREE,2026-08-23T19:41:30+00:00,2026-08-23T19:41:32+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T194128353186-47ba3e25,YFINANCE_FREE,2026-08-23T19:41:28+00:00,2026-08-23T19:41:29+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T194126652446-c98b57bb,YFINANCE_FREE,2026-08-23T19:41:26+00:00,2026-08-23T19:41:27+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T194126417366-f847f025,YFINANCE_FREE,2026-08-23T19:41:26+00:00,2026-08-23T19:41:26+00:00,1,1,0,0,0,SUCCESS,
YF-20260823T194123125175-67569304,YFINANCE_FREE,2026-08-23T19:41:23+00:00,2026-08-23T19:41:25+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T192534690161-7d798c4e-R,YFINANCE_FREE,2026-08-23T19:25:34+00:00,2026-08-23T19:25:34+00:00,1,0,1,0,1,PARTIAL,
YF-20260823T192531111371-d4043ba6,YFINANCE_FREE,2026-08-23T19:25:31+00:00,2026-08-23T19:25:33+00:00,29,29,0,0,0,SUCCESS,
YF-20260823T192527360791-721405ad,YFINANCE_FREE,2026-08-23T19:25:27+00:00,2026-08-23T19:25:29+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T192522988064-9d65a0b8,YFINANCE_FREE,2026-08-23T19:25:22+00:00,2026-08-23T19:25:25+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T192518586379-329df8a6,YFINANCE_FREE,2026-08-23T19:25:18+00:00,2026-08-23T19:25:21+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T192513962917-47ba3e25,YFINANCE_FREE,2026-08-23T19:25:13+00:00,2026-08-23T19:25:16+00:00,30,30,0,0,0,SUCCESS,
YF-20260823T192508927219-c98b57bb,YFINANCE_FREE,2026-08-23T19:25:08+00:00,2026-08-23T19:25:12+00:00,30,30,0,0,0,SUCCESS,
