WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XLON:LGEN.L,LEGAL & GENERAL GRP,,GB,LGEN.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:LGEN.L,LGEN.L,DERIVED_RULE_NORMALIZED,READY,,507,507,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XWAR:INGP.WA,ING BANK SLASKI BSK,,PL,INGP.WA,Warsaw SE,XWAR,PLN,EU_STOXX600,EU_STOXX600,WS:XWAR:INGP.WA,INGP.WA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:INF.L,INFORMA,,GB,INF.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:INF.L,INF.L,DERIVED_RULE_NORMALIZED,READY,,507,507,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:NWG.L,NATWEST GROUP,,GB,NWG.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:NWG.L,NWG.L,DERIVED_RULE_NORMALIZED,READY,,507,507,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XSWX:VZN.S,VZ HOLDING 'N',,CH,VZN.S,Six Swiss Exchange,XSWX,CHF,EU_STOXX600,EU_STOXX600,WS:XSWX:VZN.S,VZN.SW,DERIVED_RULE_NORMALIZED,READY,,500,500,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XCSE:ISS.CO,ISS AS,,DK,ISS.CO,NASDAQ Copenhagen,XCSE,DKK,EU_STOXX600,EU_STOXX600,WS:XCSE:ISS.CO,ISS.CO,DERIVED_RULE_NORMALIZED,READY,,498,498,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XETR:MRCG.DE,MERCK,,DE,MRCG.DE,XETRA,XETR,EUR,EU_STOXX600,EU_STOXX600,WS:XETR:MRCG.DE,MRCG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XAMS:HEIN.AS,HEINEKEN,,NL,HEIN.AS,Euronext Amsterdam,XAMS,EUR,EU_STOXX600,EU_STOXX600,WS:XAMS:HEIN.AS,HEIN.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:WISEA.L,WISE GROUP A,,GB,WISEa.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:WISEA.L,WISEA.L,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:HLN.L,HALEON,,GB,HLN.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:HLN.L,HLN.L,DERIVED_RULE_NORMALIZED,READY,ISOLATED_INVALID_BAR_EXCLUDED,507,506,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
