WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XWAR:INGP.WA,ING BANK SLASKI BSK,,PL,INGP.WA,Warsaw SE,XWAR,PLN,EU_STOXX600,EU_STOXX600,WS:XWAR:INGP.WA,INGP.WA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XETR:MRCG.DE,MERCK,,DE,MRCG.DE,XETRA,XETR,EUR,EU_STOXX600,EU_STOXX600,WS:XETR:MRCG.DE,MRCG.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XAMS:HEIN.AS,HEINEKEN,,NL,HEIN.AS,Euronext Amsterdam,XAMS,EUR,EU_STOXX600,EU_STOXX600,WS:XAMS:HEIN.AS,HEIN.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:WISEA.L,WISE GROUP A,,GB,WISEa.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:WISEA.L,WISEA.L,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XAMS:WLSNC.AS,WOLTERS KLUWER,,NL,WLSNc.AS,Euronext Amsterdam,XAMS,EUR,EU_STOXX600,EU_STOXX600,WS:XAMS:WLSNC.AS,WLSNC.AS,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:LMPL.L,LONDONMETRIC PROPERTY PLC,,GB,LMPL.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:LMPL.L,LMPL.L,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XLON:BAES.L,BAE SYSTEMS,,GB,BAES.L,London SE,XLON,GBP,EU_STOXX600,EU_STOXX600,WS:XLON:BAES.L,BAES.L,DERIVED_RULE_NORMALIZED,QUARANTINE,INVALID_OHLC_OR_VOLUME,506,362,0,0,0.8701657458563536,2024-08-21,2026-08-21,2026-08-23T19:41:39+00:00,YF-20260823T194139446369-705f28c3-R,NO_DATA_IN_BATCH
WS:XSTO:EQTAB.ST,EQT,,SE,EQTAB.ST,NASDAQ Stockholm,XSTO,SEK,EU_STOXX600,EU_STOXX600,WS:XSTO:EQTAB.ST,EQTAB.ST,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XETR:P911_P.DE,DR ING HC F PORSCHE PREF.,,DE,P911_p.DE,XETRA,XETR,EUR,EU_STOXX600,EU_STOXX600,WS:XETR:P911_P.DE,P911_P.DE,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA,0,0,0,0,0.0,,,2026-08-23T19:41:25+00:00,YF-20260823T194123125175-67569304,
WS:XTSE:IAU,i-80 Gold Corp.,,Canada,IAU,Toronto Stock Exchange,XTSE,CAD,CA_TSX,CA_TSX,WS:XTSE:IAU,IAU.TO,DERIVED_RULE,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,0,1,0.0,2024-08-21,2026-08-21,2026-08-23T19:41:39+00:00,YF-20260823T194139446369-705f28c3-R,NO_DATA_IN_BATCH
