WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XLON:LGEN.L,LGEN.L,DERIVED_RULE_NORMALIZED,LGEN.L,XLON,GBP
WS:XWAR:INGP.WA,INGP.WA,DERIVED_RULE_NORMALIZED,INGP.WA,XWAR,PLN
WS:XLON:INF.L,INF.L,DERIVED_RULE_NORMALIZED,INF.L,XLON,GBP
WS:XLON:NWG.L,NWG.L,DERIVED_RULE_NORMALIZED,NWG.L,XLON,GBP
WS:XSWX:VZN.S,VZN.SW,DERIVED_RULE_NORMALIZED,VZN.S,XSWX,CHF
WS:XCSE:ISS.CO,ISS.CO,DERIVED_RULE_NORMALIZED,ISS.CO,XCSE,DKK
WS:XETR:MRCG.DE,MRCG.DE,DERIVED_RULE_NORMALIZED,MRCG.DE,XETR,EUR
WS:XAMS:HEIN.AS,HEIN.AS,DERIVED_RULE_NORMALIZED,HEIN.AS,XAMS,EUR
WS:XLON:WISEA.L,WISEA.L,DERIVED_RULE_NORMALIZED,WISEa.L,XLON,GBP
WS:XLON:HLN.L,HLN.L,DERIVED_RULE_NORMALIZED,HLN.L,XLON,GBP
WS:XSWX:GF.S,GF.SW,DERIVED_RULE_NORMALIZED,GF.S,XSWX,CHF
WS:XMIL:TRN.MI,TRN.MI,DERIVED_RULE_NORMALIZED,TRN.MI,XMIL,EUR
WS:XAMS:WLSNC.AS,WLSNC.AS,DERIVED_RULE_NORMALIZED,WLSNc.AS,XAMS,EUR
WS:XSTO:SAVE.ST,SAVE.ST,DERIVED_RULE_NORMALIZED,SAVE.ST,XSTO,SEK
WS:XMIL:BMPS.MI,BMPS.MI,DERIVED_RULE_NORMALIZED,BMPS.MI,XMIL,EUR
WS:XHEL:STERV.HE,STERV.HE,DERIVED_RULE_NORMALIZED,STERV.HE,XHEL,EUR
WS:XBRU:SYENS.BR,SYENS.BR,DERIVED_RULE_NORMALIZED,SYENS.BR,XBRU,EUR
WS:XLON:LMPL.L,LMPL.L,DERIVED_RULE_NORMALIZED,LMPL.L,XLON,GBP
WS:XSTO:WIHL.ST,WIHL.ST,DERIVED_RULE_NORMALIZED,WIHL.ST,XSTO,SEK
WS:XWAR:PZU.WA,PZU.WA,DERIVED_RULE_NORMALIZED,PZU.WA,XWAR,PLN
WS:XAMS:AALB.AS,AALB.AS,DERIVED_RULE_NORMALIZED,AALB.AS,XAMS,EUR
WS:XLON:BAES.L,BAES.L,DERIVED_RULE_NORMALIZED,BAES.L,XLON,GBP
WS:XCSE:FLS.CO,FLS.CO,DERIVED_RULE_NORMALIZED,FLS.CO,XCSE,DKK
WS:XSTO:EQTAB.ST,EQTAB.ST,DERIVED_RULE_NORMALIZED,EQTAB.ST,XSTO,SEK
WS:XLON:CTEC.L,CTEC.L,DERIVED_RULE_NORMALIZED,CTEC.L,XLON,GBP
WS:XSTO:AXFO.ST,AXFO.ST,DERIVED_RULE_NORMALIZED,AXFO.ST,XSTO,SEK
WS:XCSE:RILBA.CO,RILBA.CO,DERIVED_RULE_NORMALIZED,RILBA.CO,XCSE,DKK
WS:XETR:P911_P.DE,P911_P.DE,DERIVED_RULE_NORMALIZED,P911_p.DE,XETR,EUR
WS:XSWX:KNIN.S,KNIN.SW,DERIVED_RULE_NORMALIZED,KNIN.S,XSWX,CHF
WS:XSWX:SCHP.S,SCHP.SW,DERIVED_RULE_NORMALIZED,SCHP.S,XSWX,CHF
WS:XTSE:ATRL,ATRL.TO,DERIVED_RULE,ATRL,XTSE,CAD
WS:XTSE:WCN,WCN.TO,DERIVED_RULE,WCN,XTSE,CAD
WS:XTSE:RCH,RCH.TO,DERIVED_RULE,RCH,XTSE,CAD
WS:XTSE:GFL,GFL.TO,DERIVED_RULE,GFL,XTSE,CAD
WS:XTSE:ONEX,ONEX.TO,DERIVED_RULE,ONEX,XTSE,CAD
WS:XTSE:SES,SES.TO,DERIVED_RULE,SES,XTSE,CAD
WS:XTSE:EDR,EDR.TO,DERIVED_RULE,EDR,XTSE,CAD
WS:XTSE:LB,LB.TO,DERIVED_RULE,LB,XTSE,CAD
WS:XTSE:SKE,SKE.TO,DERIVED_RULE,SKE,XTSE,CAD
WS:XTSE:CCA,CCA.TO,DERIVED_RULE,CCA,XTSE,CAD
WS:XTSE:TXG,TXG.TO,DERIVED_RULE,TXG,XTSE,CAD
WS:XTSE:MAU,MAU.TO,DERIVED_RULE,MAU,XTSE,CAD
WS:XTSE:TECK.B,TECK-B.TO,DERIVED_RULE_NORMALIZED,TECK.B,XTSE,CAD
WS:XTSE:NXE,NXE.TO,DERIVED_RULE,NXE,XTSE,CAD
WS:XTSE:MG,MG.TO,DERIVED_RULE,MG,XTSE,CAD
WS:XTSE:NTR,NTR.TO,DERIVED_RULE,NTR,XTSE,CAD
WS:XTSE:TSU,TSU.TO,DERIVED_RULE,TSU,XTSE,CAD
WS:XTSE:ABRA,ABRA.TO,DERIVED_RULE,ABRA,XTSE,CAD
WS:XTSE:BIR,BIR.TO,DERIVED_RULE,BIR,XTSE,CAD
WS:XTSE:ERO,ERO.TO,DERIVED_RULE,ERO,XTSE,CAD
WS:XTSE:BDT,BDT.TO,DERIVED_RULE,BDT,XTSE,CAD
WS:XTSE:SXGC,SXGC.TO,DERIVED_RULE,SXGC,XTSE,CAD
WS:XTSE:WSP,WSP.TO,DERIVED_RULE,WSP,XTSE,CAD
WS:XTSE:TOU,TOU.TO,DERIVED_RULE,TOU,XTSE,CAD
WS:XTSE:IAU,IAU.TO,DERIVED_RULE,IAU,XTSE,CAD
WS:XTSE:FTT,FTT.TO,DERIVED_RULE,FTT,XTSE,CAD
WS:XTSE:WCP,WCP.TO,DERIVED_RULE,WCP,XTSE,CAD
WS:XTSE:SOBO,SOBO.TO,DERIVED_RULE,SOBO,XTSE,CAD
WS:XTSE:EFX,EFX.TO,DERIVED_RULE,EFX,XTSE,CAD
WS:XTSE:CLS,CLS.TO,DERIVED_RULE,CLS,XTSE,CAD
WS:XTKS:6471,6471.T,DERIVED_RULE,6471,XTKS,JPY
WS:XTKS:1963,1963.T,DERIVED_RULE,1963,XTKS,JPY
WS:XTKS:6504,6504.T,DERIVED_RULE,6504,XTKS,JPY
WS:XTKS:5101,5101.T,DERIVED_RULE,5101,XTKS,JPY
WS:XTKS:6113,6113.T,DERIVED_RULE,6113,XTKS,JPY
WS:XTKS:6305,6305.T,DERIVED_RULE,6305,XTKS,JPY
WS:XTKS:2503,2503.T,DERIVED_RULE,2503,XTKS,JPY
WS:XTKS:4704,4704.T,DERIVED_RULE,4704,XTKS,JPY
WS:XTKS:7186,7186.T,DERIVED_RULE,7186,XTKS,JPY
WS:XTKS:9843,9843.T,DERIVED_RULE,9843,XTKS,JPY
WS:XTKS:8795,8795.T,DERIVED_RULE,8795,XTKS,JPY
WS:XTKS:3402,3402.T,DERIVED_RULE,3402,XTKS,JPY
WS:XTKS:9147,9147.T,DERIVED_RULE,9147,XTKS,JPY
WS:XTKS:9532,9532.T,DERIVED_RULE,9532,XTKS,JPY
WS:XTKS:9983,9983.T,DERIVED_RULE,9983,XTKS,JPY
WS:XTKS:7270,7270.T,DERIVED_RULE,7270,XTKS,JPY
WS:XTKS:4902,4902.T,DERIVED_RULE,4902,XTKS,JPY
WS:XTKS:3382,3382.T,DERIVED_RULE,3382,XTKS,JPY
WS:XTKS:4151,4151.T,DERIVED_RULE,4151,XTKS,JPY
WS:XTKS:7532,7532.T,DERIVED_RULE,7532,XTKS,JPY
WS:XTKS:7912,7912.T,DERIVED_RULE,7912,XTKS,JPY
WS:XTKS:5706,5706.T,DERIVED_RULE,5706,XTKS,JPY
WS:XTKS:8253,8253.T,DERIVED_RULE,8253,XTKS,JPY
WS:XTKS:8830,8830.T,DERIVED_RULE,8830,XTKS,JPY
WS:XTKS:5803,5803.T,DERIVED_RULE,5803,XTKS,JPY
WS:XTKS:5411,5411.T,DERIVED_RULE,5411,XTKS,JPY
WS:XTKS:3861,3861.T,DERIVED_RULE,3861,XTKS,JPY
WS:XTKS:8604,8604.T,DERIVED_RULE,8604,XTKS,JPY
WS:XTKS:6501,6501.T,DERIVED_RULE,6501,XTKS,JPY
WS:XTKS:5406,5406.T,DERIVED_RULE,5406,XTKS,JPY
WS:XHKG:941,0941.HK,DERIVED_RULE,941,XHKG,HKD
WS:XHKG:1928,1928.HK,DERIVED_RULE,1928,XHKG,HKD
WS:XHKG:6160,6160.HK,DERIVED_RULE,6160,XHKG,HKD
WS:XHKG:1099,1099.HK,DERIVED_RULE,1099,XHKG,HKD
WS:XHKG:669,0669.HK,DERIVED_RULE,669,XHKG,HKD
WS:XHKG:175,0175.HK,DERIVED_RULE,175,XHKG,HKD
WS:XHKG:2020,2020.HK,DERIVED_RULE,2020,XHKG,HKD
WS:XHKG:1044,1044.HK,DERIVED_RULE,1044,XHKG,HKD
WS:XHKG:868,0868.HK,DERIVED_RULE,868,XHKG,HKD
WS:XHKG:9633,9633.HK,DERIVED_RULE,9633,XHKG,HKD
WS:XHKG:960,0960.HK,DERIVED_RULE,960,XHKG,HKD
WS:XHKG:1398,1398.HK,DERIVED_RULE,1398,XHKG,HKD
WS:XHKG:241,0241.HK,DERIVED_RULE,241,XHKG,HKD
