WS_ID,Yahoo_Symbol,Primary_MIC,Primary_Currency,Cache_Status,History_QA,Reason,Unique_Bars,Valid_Bars,First_Bar,Last_Bar,Scale_Rule,Last_Error
WS:XAMS:ABND.AS,ABN.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:AEGN.AS,AGN.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:AKZO.AS,AKZA.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:ARDS.AS,ARCAD.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:ASMI.AS,ASM.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:BAMN.AS,BAMNB.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:EXOR.AS,EXO.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:MICCT.AS,MICC.AS,XAMS,EUR,QUARANTINE,FAIL_HISTORY,INVALID_OHLC_OR_VOLUME,189,188,2025-12-08,2026-09-03,NONE,NO_DATA_IN_BATCH
WS:XAMS:PHG.AS,PHIA.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:SHEL.AS,SHELL.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XAMS:VOPA.AS,VPK.AS,XAMS,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XBRU:AGES.BR,AGS.BR,XBRU,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XBRU:AOO.BR,AED.BR,XBRU,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XBRU:IETB.BR,DIE.BR,XBRU,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XBRU:WDPP.BR,WDP.BR,XBRU,EUR,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,511,510,2024-09-04,2026-09-03,NONE,
WS:XCSE:ALKB.CO,ALK-B.CO,XCSE,DKK,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,498,497,2024-09-04,2026-09-03,NONE,
WS:XCSE:CARLB.CO,CARL-B.CO,XCSE,DKK,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,498,497,2024-09-04,2026-09-03,NONE,
WS:XCSE:COLOB.CO,COLO-B.CO,XCSE,DKK,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,498,497,2024-09-04,2026-09-03,NONE,
WS:XCSE:MAERSKB.CO,MAERSK-B.CO,XCSE,DKK,READY,PASS_HISTORY,ISOLATED_INVALID_BAR_EXCLUDED,498,497,2024-09-04,2026-09-03,NONE,
