Duplicate_Type,Duplicate_Key,WS_ID,Name,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN
NORMALIZED_NAME,life360,WS:XASX:360,Life360,AU_ASX200,360,XASX,
NORMALIZED_NAME,life360,WS:US:LIF,Life360,US_SP1500,LIF,,
NORMALIZED_NAME,a2 milk,WS:XASX:A2M,a2 Milk Company,AU_ASX200,A2M,XASX,
NORMALIZED_NAME,a2 milk,WS:XNZE:ATM,The a2 Milk Company Limited,NZ_NZX50,ATM,XNZE,
NORMALIZED_NAME,alcoa,WS:XASX:AAI,Alcoa,AU_ASX200,AAI,XASX,
NORMALIZED_NAME,alcoa,WS:US:AA,Alcoa,US_SP1500,AA,,
NORMALIZED_NAME,auckland international airport,WS:XASX:AIA,Auckland International Airport Limited,AU_ASX200,AIA,XASX,
NORMALIZED_NAME,auckland international airport,WS:XNZE:AIA,Auckland International Airport Limited,NZ_NZX50,AIA,XNZE,
NORMALIZED_NAME,amcor,WS:XASX:AMC,Amcor,AU_ASX200,AMC,XASX,
NORMALIZED_NAME,amcor,WS:US:AMCR,Amcor,US_SP1500,AMCR,,
NORMALIZED_NAME,apa,WS:XASX:APA,APA Group,AU_ASX200,APA,XASX,
NORMALIZED_NAME,apa,WS:US:APA,APA Corporation,US_SP1500,APA,,
NORMALIZED_NAME,bhp,WS:XASX:BHP,BHP,AU_ASX200,BHP,XASX,
NORMALIZED_NAME,bhp,WS:SRC:ZA_TOP40:C4F89DB729DA585F,BHP,ZA_TOP40,,XJSE,
NORMALIZED_NAME,contact energy,WS:XASX:CEN,Contact Energy,AU_ASX200,CEN,XASX,
NORMALIZED_NAME,contact energy,WS:XNZE:CEN,Contact Energy Limited,NZ_NZX50,CEN,XNZE,
NORMALIZED_NAME,chorus,WS:XASX:CNU,Chorus,AU_ASX200,CNU,XASX,
NORMALIZED_NAME,chorus,WS:XNZE:CNU,Chorus Limited,NZ_NZX50,CNU,XNZE,
NORMALIZED_NAME,capstone copper,WS:XASX:CSC,Capstone Copper,AU_ASX200,CSC,XASX,
NORMALIZED_NAME,capstone copper,WS:XTSE:CS,Capstone Copper Corp.,CA_TSX,CS,XTSE,
NORMALIZED_NAME,ebos,WS:XASX:EBO,EBOS Group,AU_ASX200,EBO,XASX,
