WS_ID,Name,Country,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN,Universe_Status,Yahoo_Symbol_Before,Yahoo_Symbol_After,Yahoo_Mapping_Status,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Prior_Run_Status,Prior_Reason_Code,Search_Attempted,Search_Query,Search_Result_Name,Search_Result_Exchange,Search_Score,Search_Margin,Search_Reason,Identity_Issues,Needs_Review
WS:XASX:360,Life360,Australia,AU_ASX200,360,XASX,,ACTIVE_SOURCE_CAPTURED,,360.AX,DERIVED_RULE,0.93,360,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:4DX,4DMedical,Australia,AU_ASX200,4DX,XASX,,ACTIVE_SOURCE_CAPTURED,,4DX.AX,DERIVED_RULE,0.93,4DX,,,False,,,,,,,ISIN_NOT_VERIFIED,False
WS:XASX:A2M,a2 Milk Company,Australia,AU_ASX200,A2M,XASX,,ACTIVE_SOURCE_CAPTURED,,A2M.AX,DERIVED_RULE,0.93,A2M,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:AAI,Alcoa,Australia,AU_ASX200,AAI,XASX,,ACTIVE_SOURCE_CAPTURED,,AAI.AX,DERIVED_RULE,0.93,AAI,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:AFI,Australian Foundation Investment Company,Australia,AU_ASX200,AFI,XASX,,ACTIVE_SOURCE_CAPTURED,,AFI.AX,DERIVED_RULE,0.93,AFI,,,False,,,,,,,ISIN_NOT_VERIFIED,False
WS:XASX:AGL,AGL Energy,Australia,AU_ASX200,AGL,XASX,,ACTIVE_SOURCE_CAPTURED,,AGL.AX,DERIVED_RULE,0.93,AGL,,,False,,,,,,,ISIN_NOT_VERIFIED,False
WS:XASX:AIA,Auckland International Airport Limited,Australia,AU_ASX200,AIA,XASX,,ACTIVE_SOURCE_CAPTURED,,AIA.AX,DERIVED_RULE,0.93,AIA,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:ALD,Ampol,Australia,AU_ASX200,ALD,XASX,,ACTIVE_SOURCE_CAPTURED,,ALD.AX,DERIVED_RULE,0.93,ALD,,,False,,,,,,,ISIN_NOT_VERIFIED,False
WS:XASX:ALK,Alkane Resources,Australia,AU_ASX200,ALK,XASX,,ACTIVE_SOURCE_CAPTURED,,ALK.AX,DERIVED_RULE,0.93,ALK,,,False,,,,,,,ISIN_NOT_VERIFIED,False
WS:XASX:ALL,Aristocrat Leisure,Australia,AU_ASX200,ALL,XASX,,ACTIVE_SOURCE_CAPTURED,,ALL.AX,DERIVED_RULE,0.93,ALL,,,False,,,,,,,ISIN_NOT_VERIFIED,False
