WS_ID,Name,Country,Primary_Universe_Index,Primary_Ticker,Primary_MIC,ISIN,Universe_Status,Yahoo_Symbol_Before,Yahoo_Symbol_After,Yahoo_Mapping_Status,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Prior_Run_Status,Prior_Reason_Code,Search_Attempted,Search_Query,Search_Result_Name,Search_Result_Exchange,Search_Score,Search_Margin,Search_Reason,Identity_Issues,Needs_Review
WS:XASX:360,Life360,Australia,AU_ASX200,360,XASX,,ACTIVE_SOURCE_CAPTURED,,360.AX,DERIVED_RULE,0.93,360,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:A2M,a2 Milk Company,Australia,AU_ASX200,A2M,XASX,,ACTIVE_SOURCE_CAPTURED,,A2M.AX,DERIVED_RULE,0.93,A2M,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:AAI,Alcoa,Australia,AU_ASX200,AAI,XASX,,ACTIVE_SOURCE_CAPTURED,,AAI.AX,DERIVED_RULE,0.93,AAI,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:AIA,Auckland International Airport Limited,Australia,AU_ASX200,AIA,XASX,,ACTIVE_SOURCE_CAPTURED,,AIA.AX,DERIVED_RULE,0.93,AIA,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:AMC,Amcor,Australia,AU_ASX200,AMC,XASX,,ACTIVE_SOURCE_CAPTURED,,AMC.AX,DERIVED_RULE,0.93,AMC,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:APA,APA Group,Australia,AU_ASX200,APA,XASX,,ACTIVE_SOURCE_CAPTURED,,APA.AX,DERIVED_RULE,0.93,APA,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:BHP,BHP,Australia,AU_ASX200,BHP,XASX,,ACTIVE_SOURCE_CAPTURED,,BHP.AX,DERIVED_RULE,0.93,BHP,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:CEN,Contact Energy,Australia,AU_ASX200,CEN,XASX,,ACTIVE_SOURCE_CAPTURED,,CEN.AX,DERIVED_RULE,0.93,CEN,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:CNU,Chorus,Australia,AU_ASX200,CNU,XASX,,ACTIVE_SOURCE_CAPTURED,,CNU.AX,DERIVED_RULE,0.93,CNU,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:CSC,Capstone Copper,Australia,AU_ASX200,CSC,XASX,,ACTIVE_SOURCE_CAPTURED,,CSC.AX,DERIVED_RULE,0.93,CSC,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:EBO,EBOS Group,Australia,AU_ASX200,EBO,XASX,,ACTIVE_SOURCE_CAPTURED,,EBO.AX,DERIVED_RULE,0.93,EBO,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:FBU,Fletcher Building,Australia,AU_ASX200,FBU,XASX,,ACTIVE_SOURCE_CAPTURED,,FBU.AX,DERIVED_RULE,0.93,FBU,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:FPH,Fisher & Paykel Healthcare,Australia,AU_ASX200,FPH,XASX,,ACTIVE_SOURCE_CAPTURED,,FPH.AX,DERIVED_RULE,0.93,FPH,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:FRW,Freightways Group,Australia,AU_ASX200,FRW,XASX,,ACTIVE_SOURCE_CAPTURED,,FRW.AX,DERIVED_RULE,0.93,FRW,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:GNE,Genesis Energy,Australia,AU_ASX200,GNE,XASX,,ACTIVE_SOURCE_CAPTURED,,GNE.AX,DERIVED_RULE,0.93,GNE,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:IFT,Infratil,Australia,AU_ASX200,IFT,XASX,,ACTIVE_SOURCE_CAPTURED,,IFT.AX,DERIVED_RULE,0.93,IFT,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:MCY,Mercury NZ,Australia,AU_ASX200,MCY,XASX,,ACTIVE_SOURCE_CAPTURED,,MCY.AX,DERIVED_RULE,0.93,MCY,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:MEZ,Meridian Energy,Australia,AU_ASX200,MEZ,XASX,,ACTIVE_SOURCE_CAPTURED,,MEZ.AX,DERIVED_RULE,0.93,MEZ,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:NEM,Newmont,Australia,AU_ASX200,NEM,XASX,,ACTIVE_SOURCE_CAPTURED,,NEM.AX,DERIVED_RULE,0.93,NEM,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:NWS,News Corp Class B,Australia,AU_ASX200,NWS,XASX,,ACTIVE_SOURCE_CAPTURED,,NWS.AX,DERIVED_RULE,0.93,NWS,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:NXG,Nexgen Energy,Australia,AU_ASX200,NXG,XASX,,ACTIVE_SOURCE_CAPTURED,,NXG.AX,DERIVED_RULE,0.93,NXG,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:RIO,Rio Tinto,Australia,AU_ASX200,RIO,XASX,,ACTIVE_SOURCE_CAPTURED,,RIO.AX,DERIVED_RULE,0.93,RIO,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:RMD,ResMed,Australia,AU_ASX200,RMD,XASX,,ACTIVE_SOURCE_CAPTURED,,RMD.AX,DERIVED_RULE,0.93,RMD,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,RYM,XASX,,ACTIVE_SOURCE_CAPTURED,,RYM.AX,DERIVED_RULE,0.93,RYM,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:SNZ,Summerset Group Holdings,Australia,AU_ASX200,SNZ,XASX,,ACTIVE_SOURCE_CAPTURED,,SNZ.AX,DERIVED_RULE,0.93,SNZ,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:SPK,Spark New Zealand,Australia,AU_ASX200,SPK,XASX,,ACTIVE_SOURCE_CAPTURED,,SPK.AX,DERIVED_RULE,0.93,SPK,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:WOW,Woolworths Group,Australia,AU_ASX200,WOW,XASX,,ACTIVE_SOURCE_CAPTURED,,WOW.AX,DERIVED_RULE,0.93,WOW,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XASX:XYX,"Block, Inc.",Australia,AU_ASX200,XYX,XASX,,ACTIVE_SOURCE_CAPTURED,,XYX.AX,DERIVED_RULE,0.93,XYX,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XTSE:CS,Capstone Copper Corp.,Canada,CA_TSX,CS,XTSE,,ACTIVE_VERIFIED,,CS.TO,DERIVED_RULE,0.93,CS,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
WS:XTSE:NA,National Bank of Canada,Canada,CA_TSX,NA,XTSE,,ACTIVE_VERIFIED,,,SEARCH_AMBIGUOUS,0.9,,MAPPING_PENDING,MISSING_PRIMARY_TICKER,True,National Bank of Canada,National Bank of Canada,TOR,0.9,0.0,SEARCH_AMBIGUOUS,ISIN_NOT_VERIFIED,True
WS:XTSE:NXE,NexGen Energy Ltd.,Canada,CA_TSX,NXE,XTSE,,ACTIVE_VERIFIED,,NXE.TO,DERIVED_RULE,0.93,NXE,,,False,,,,,,,ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,True
