WS_ID,Name,Primary_Universe_Index,Primary_MIC,Source_Primary_Ticker,Yahoo_Symbol_Before,Yahoo_Status_Before,Curated_Candidate,Yahoo_Symbol_After,Yahoo_Status_After,Provider_Listing_Type,Changed,Validation_Reason,Yahoo_Result_Name,Yahoo_Result_Exchange,Name_Score,Errors,Active_After
WS:XAMS:AKZO.AS,AKZO NOBEL,EU_STOXX600,XAMS,AKZO.AS,,SEARCH_AMBIGUOUS,AKZA.AS,AKZA.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Akzo Nobel N.V.,AMS,1.0,,True
WS:XAMS:ARDS.AS,ARCADIS,EU_STOXX600,XAMS,ARDS.AS,,SEARCH_AMBIGUOUS,ARCAD.AS,ARCAD.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Arcadis NV,AMS,1.0,,True
WS:XAMS:BAMN.AS,BAM GROEP KON.,EU_STOXX600,XAMS,BAMN.AS,,SEARCH_NO_QUOTES,BAMNB.AS,BAMNB.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Koninklijke BAM Groep nv,AMS,0.666667,,True
WS:XAMS:EXOR.AS,EXOR NV,EU_STOXX600,XAMS,EXOR.AS,,SEARCH_AMBIGUOUS,EXO.AS,EXO.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Exor N.V.,AMS,1.0,,True
WS:XAMS:PHG.AS,PHILIPS,EU_STOXX600,XAMS,PHG.AS,,SEARCH_AMBIGUOUS,PHIA.AS,PHIA.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Koninklijke Philips N.V.,AMS,1.0,,True
WS:XAMS:VOPA.AS,VOPAK,EU_STOXX600,XAMS,VOPA.AS,,SEARCH_AMBIGUOUS,VPK.AS,VPK.AS,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Koninklijke Vopak N.V.,AMS,1.0,,True
WS:XBRU:WDPP.BR,WDP,EU_STOXX600,XBRU,WDPP.BR,,SEARCH_AMBIGUOUS,WDP.BR,WDP.BR,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Warehouses De Pauw SA,BRU,0.285714,,True
WS:XCSE:ALKB.CO,ALK-ABELLO B,EU_STOXX600,XCSE,ALKb.CO,,SEARCH_AMBIGUOUS,ALK-B.CO,ALK-B.CO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,ALK-Abelló A/S,CPH,0.846154,,True
WS:XCSE:MAERSKB.CO,A.P.MOLLER-MAERSK B,EU_STOXX600,XCSE,MAERSKb.CO,,SEARCH_NO_QUOTES,MAERSK-B.CO,MAERSK-B.CO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,A.P. Møller - Mærsk A/S,CPH,0.769231,,True
WS:XCSE:ROCKB.CO,ROCKWOOL B,EU_STOXX600,XCSE,ROCKb.CO,,SEARCH_NO_QUOTES,ROCK-B.CO,ROCK-B.CO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Rockwool A/S,CPH,0.818182,,True
WS:XDUB:KSP.I,KINGSPAN GRP,EU_STOXX600,XDUB,KSP.I,,SEARCH_NO_QUOTES,KRX.IR,KRX.IR,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Kingspan Group plc,ISE,0.923077,,True
WS:XDUB:KYGA.I,KERRY GRP,EU_STOXX600,XDUB,KYGa.I,,SEARCH_NO_QUOTES,KRZ.IR,KRZ.IR,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Kerry Group plc,ISE,0.9,,True
WS:XETR:AG1G.DE,AUTO1 GROUP,EU_STOXX600,XETR,AG1G.DE,,SEARCH_AMBIGUOUS,AG1.DE,,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,UNRESOLVED,True,CURATED_CANDIDATE_NOT_YAHOO_VERIFIED,,,,,True
WS:XETR:BEIG.DE,BEIERSDORF,EU_STOXX600,XETR,BEIG.DE,,SEARCH_AMBIGUOUS,BEI.DE,BEI.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Beiersdorf Aktiengesellschaft,GER,1.0,,True
WS:XETR:BMWG.DE,BMW,EU_STOXX600,XETR,BMWG.DE,,SEARCH_AMBIGUOUS,BMW.DE,BMW.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Bayerische Motoren Werke Aktiengesellschaft,GER,0.130435,,True
WS:XETR:DB1GN.DE,DEUTSCHE BOERSE,EU_STOXX600,XETR,DB1Gn.DE,,SEARCH_AMBIGUOUS,DB1.DE,DB1.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Deutsche Börse AG,GER,0.965517,,True
WS:XETR:EONGN.DE,E.ON,EU_STOXX600,XETR,EONGn.DE,,SEARCH_AMBIGUOUS,EOAN.DE,EOAN.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,E.ON SE,GER,1.0,,True
WS:XETR:FMEG.DE,FRESENIUS MEDICAL CARE,EU_STOXX600,XETR,FMEG.DE,,SEARCH_AMBIGUOUS,FME.DE,FME.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Fresenius Medical Care AG,GER,1.0,,True
WS:XETR:FPE3_P.DE,FUCHS PREF,EU_STOXX600,XETR,FPE3_p.DE,,SEARCH_NO_QUOTES,FPE3.DE,FPE3.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Fuchs SE,GER,1.0,,True
WS:XETR:FREG.DE,FRESENIUS,EU_STOXX600,XETR,FREG.DE,,SEARCH_AMBIGUOUS,FRE.DE,FRE.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Fresenius SE & Co. KGaA,GER,1.0,,True
WS:XETR:FTKN.DE,FLATEXDEGIRO N,EU_STOXX600,XETR,FTKn.DE,,SEARCH_NO_QUOTES,FTK.DE,FTK.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,flatexDEGIRO SE,GER,1.0,,True
WS:XETR:G1AG.DE,GEA GRP,EU_STOXX600,XETR,G1AG.DE,,SEARCH_NO_QUOTES,G1A.DE,G1A.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,GEA Group Aktiengesellschaft,GER,0.5,,True
WS:XETR:HNKG_P.DE,HENKEL PREF,EU_STOXX600,XETR,HNKG_p.DE,,SEARCH_NO_QUOTES,HEN3.DE,HEN3.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Henkel AG & Co. KGaA,GER,0.5,,True
WS:XETR:MUVGN.DE,MUENCHENER RUECK,EU_STOXX600,XETR,MUVGn.DE,,SEARCH_AMBIGUOUS,MUV2.DE,MUV2.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,GER,0.325581,,True
WS:XETR:PSHG_P.DE,PORSCHE AUTOMOBIL HLDG PREF,EU_STOXX600,XETR,PSHG_p.DE,,SEARCH_NO_QUOTES,PAH3.DE,PAH3.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Porsche Automobil Holding SE,GER,0.846154,,True
WS:XETR:RAAG.DE,RATIONAL,EU_STOXX600,XETR,RAAG.DE,,SEARCH_AMBIGUOUS,RAA.DE,RAA.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,RATIONAL Aktiengesellschaft,GER,1.0,,True
WS:XETR:SATG_P.DE,SARTORIUS PREF.,EU_STOXX600,XETR,SATG_p.DE,,SEARCH_AMBIGUOUS,SRT3.DE,SRT3.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Sartorius Aktiengesellschaft,GER,0.571429,,True
WS:XETR:SDFGN.DE,K + S,EU_STOXX600,XETR,SDFGn.DE,,SEARCH_AMBIGUOUS,SDF.DE,SDF.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,K+S Aktiengesellschaft,GER,1.0,,True
WS:XETR:SIEGN.DE,SIEMENS,EU_STOXX600,XETR,SIEGn.DE,,SEARCH_AMBIGUOUS,SIE.DE,SIE.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Siemens Aktiengesellschaft,GER,1.0,,True
WS:XETR:VOWG_P.DE,VOLKSWAGEN PREF,EU_STOXX600,XETR,VOWG_p.DE,,SEARCH_NO_QUOTES,VOW3.DE,VOW3.DE,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Volkswagen AG,GER,1.0,,True
WS:XLON:ADML.L,ADMIRAL GRP,EU_STOXX600,XLON,ADML.L,,SEARCH_NO_QUOTES,ADM.L,ADM.L,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,True,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,Admiral Group plc,LSE,0.916667,,True
