WS_ID,Name,Yahoo_Symbol,Source_Primary_Ticker,Resolved_Ticker_Candidate,Mapping_Status,Provider_Listing_Type,Reference_Note,Verified_UTC
WS:XAMS:AKZO.AS,AKZO NOBEL,AKZA.AS,AKZO.AS,AKZA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:02.659644+00:00
WS:XAMS:ARDS.AS,ARCADIS,ARCAD.AS,ARDS.AS,ARCAD,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:03.178673+00:00
WS:XAMS:BAMN.AS,BAM GROEP KON.,BAMNB.AS,BAMN.AS,BAMNB,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:03.683992+00:00
WS:XAMS:EXOR.AS,EXOR NV,EXO.AS,EXOR.AS,EXO,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:04.200852+00:00
WS:XAMS:PHG.AS,PHILIPS,PHIA.AS,PHG.AS,PHIA,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:04.724747+00:00
WS:XAMS:VOPA.AS,VOPAK,VPK.AS,VOPA.AS,VPK,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:05.243761+00:00
WS:XBRU:WDPP.BR,WDP,WDP.BR,WDPP.BR,WDP,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:05.766179+00:00
WS:XCSE:ALKB.CO,ALK-ABELLO B,ALK-B.CO,ALKb.CO,ALK-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:06.273755+00:00
WS:XCSE:MAERSKB.CO,A.P.MOLLER-MAERSK B,MAERSK-B.CO,MAERSKb.CO,MAERSK-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:06.818171+00:00
WS:XCSE:ROCKB.CO,ROCKWOOL B,ROCK-B.CO,ROCKb.CO,ROCK-B,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,PRIMARY,,2026-08-23T22:25:07.325700+00:00
