Group_ID,Classification,Normalized_Issuer_Name,WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,ISIN
NAME:788316fe08a4,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,life360,WS:XASX:360,Life360,AU_ASX200,XASX,360,360.AX,
NAME:788316fe08a4,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,life360,WS:US:LIF,Life360,US_SP1500,,LIF,LIF,
NAME:8305fb1607a0,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,a2 milk,WS:XASX:A2M,a2 Milk Company,AU_ASX200,XASX,A2M,A2M.AX,
NAME:8305fb1607a0,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,a2 milk,WS:XNZE:ATM,The a2 Milk Company Limited,NZ_NZX50,XNZE,ATM,ATM.NZ,
NAME:a4f51af9d392,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,alcoa,WS:XASX:AAI,Alcoa,AU_ASX200,XASX,AAI,AAI.AX,
NAME:a4f51af9d392,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,alcoa,WS:US:AA,Alcoa,US_SP1500,,AA,AA,
NAME:0ed3abbd8c5c,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,auckland international airport,WS:XASX:AIA,Auckland International Airport Limited,AU_ASX200,XASX,AIA,AIA.AX,
NAME:0ed3abbd8c5c,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,auckland international airport,WS:XNZE:AIA,Auckland International Airport Limited,NZ_NZX50,XNZE,AIA,AIA.NZ,
NAME:499f2cf37b8b,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,amcor,WS:XASX:AMC,Amcor,AU_ASX200,XASX,AMC,AMC.AX,
NAME:499f2cf37b8b,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,amcor,WS:US:AMCR,Amcor,US_SP1500,,AMCR,AMCR,
NAME:c4f89db729da,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,bhp,WS:XASX:BHP,BHP,AU_ASX200,XASX,BHP,BHP.AX,
NAME:c4f89db729da,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,bhp,WS:SRC:ZA_TOP40:C4F89DB729DA585F,BHP,ZA_TOP40,XJSE,,,
NAME:6338c51903b0,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,contact energy,WS:XASX:CEN,Contact Energy,AU_ASX200,XASX,CEN,CEN.AX,
NAME:6338c51903b0,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,contact energy,WS:XNZE:CEN,Contact Energy Limited,NZ_NZX50,XNZE,CEN,CEN.NZ,
NAME:ca6e99a67a7a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,chorus,WS:XASX:CNU,Chorus,AU_ASX200,XASX,CNU,CNU.AX,
NAME:ca6e99a67a7a,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,chorus,WS:XNZE:CNU,Chorus Limited,NZ_NZX50,XNZE,CNU,CNU.NZ,
NAME:f8d28c359d0f,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,capstone copper,WS:XASX:CSC,Capstone Copper,AU_ASX200,XASX,CSC,CSC.AX,
NAME:f8d28c359d0f,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,capstone copper,WS:XTSE:CS,Capstone Copper Corp.,CA_TSX,XTSE,CS,CS.TO,
NAME:6a72ea26ce00,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,ebos group,WS:XASX:EBO,EBOS Group,AU_ASX200,XASX,EBO,EBO.AX,
NAME:6a72ea26ce00,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,ebos group,WS:XNZE:EBO,EBOS Group Limited,NZ_NZX50,XNZE,EBO,EBO.NZ,
NAME:3af266929940,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,fletcher building,WS:XASX:FBU,Fletcher Building,AU_ASX200,XASX,FBU,FBU.AX,
NAME:3af266929940,CROSS_LISTING_OR_DUAL_LISTING_NON_BLOCKING,fletcher building,WS:XNZE:FBU,Fletcher Building Limited,NZ_NZX50,XNZE,FBU,FBU.NZ,
