WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:XTSE:NA,NA.TO,NA,NA,MARKET_RULE_VERIFIED_CA_NA,2026-08-23T22:04:36.556296+00:00
WS:XAMS:ABND.AS,ABN.AS,ABNd.AS,ABN,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:36.974095+00:00
WS:XAMS:AEGN.AS,AGN.AS,AEGN.AS,AGN,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:36.977367+00:00
WS:XAMS:ASMI.AS,ASM.AS,ASMI.AS,ASM,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:38.417954+00:00
WS:XAMS:MICCT.AS,MICC.AS,MICCT.AS,MICC,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:38.854772+00:00
WS:XAMS:SHEL.AS,SHELL.AS,SHEL.AS,SHELL,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:39.074516+00:00
WS:XBRU:AGES.BR,AGS.BR,AGES.BR,AGS,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:39.288705+00:00
WS:XBRU:AOO.BR,AED.BR,AOO.BR,AED,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:39.289804+00:00
WS:XBRU:IETB.BR,DIE.BR,IETB.BR,DIE,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:39.294212+00:00
WS:XCSE:CARLB.CO,CARL-B.CO,CARLb.CO,CARL-B,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:39.724847+00:00
WS:XCSE:COLOB.CO,COLO-B.CO,COLOb.CO,COLO-B,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:39.726052+00:00
WS:XCSE:NOVOB.CO,NOVO-B.CO,NOVOb.CO,NOVO-B,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:39.948622+00:00
WS:XCSE:NSISB.CO,NSIS-B.CO,NSISb.CO,NSIS-B,EXPECTED_MARKET_VERIFIED_EU,2026-08-23T22:04:39.949938+00:00
WS:XCSE:ZELA.CO,ZEAL.CO,ZELA.CO,ZEAL,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.175433+00:00
WS:XDUB:AIBG.I,A5G.IR,AIBG.I,A5G,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.176533+00:00
WS:XETR:ADSGN.DE,ADS.DE,ADSGn.DE,ADS,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.648709+00:00
WS:XETR:AIXGN.DE,AIXA.DE,AIXGn.DE,AIXA,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.864790+00:00
WS:XETR:ALVG.DE,ALV.DE,ALVG.DE,ALV,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.865967+00:00
WS:XETR:AMV0N.DE,AMV0.DE,AMV0n.DE,AMV0,SEARCH_HIGH_CONFIDENCE,2026-08-23T22:04:40.867045+00:00
