WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XASX:360,Life360,AU_ASX200,Australia,XASX,360,360.AX,DERIVED_RULE,360.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:4DX,4DMedical,AU_ASX200,Australia,XASX,4DX,4DX.AX,DERIVED_RULE,4DX.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:A2M,a2 Milk Company,AU_ASX200,Australia,XASX,A2M,A2M.AX,DERIVED_RULE,A2M.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AAI,Alcoa,AU_ASX200,Australia,XASX,AAI,AAI.AX,DERIVED_RULE,AAI.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AFI,Australian Foundation Investment Company,AU_ASX200,Australia,XASX,AFI,AFI.AX,DERIVED_RULE,AFI.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AGL,AGL Energy,AU_ASX200,Australia,XASX,AGL,AGL.AX,DERIVED_RULE,AGL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AIA,Auckland International Airport Limited,AU_ASX200,Australia,XASX,AIA,AIA.AX,DERIVED_RULE,AIA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ALD,Ampol,AU_ASX200,Australia,XASX,ALD,ALD.AX,DERIVED_RULE,ALD.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ALK,Alkane Resources,AU_ASX200,Australia,XASX,ALK,ALK.AX,DERIVED_RULE,ALK.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ALL,Aristocrat Leisure,AU_ASX200,Australia,XASX,ALL,ALL.AX,DERIVED_RULE,ALL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ALQ,ALS,AU_ASX200,Australia,XASX,ALQ,ALQ.AX,DERIVED_RULE,ALQ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ALX,Atlas Arteria,AU_ASX200,Australia,XASX,ALX,ALX.AX,DERIVED_RULE,ALX.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AMC,Amcor,AU_ASX200,Australia,XASX,AMC,AMC.AX,DERIVED_RULE,AMC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AMP,AMP,AU_ASX200,Australia,XASX,AMP,AMP.AX,DERIVED_RULE,AMP.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ANN,Ansell,AU_ASX200,Australia,XASX,ANN,ANN.AX,DERIVED_RULE,ANN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ANZ,Australia & New Zealand Banking Group,AU_ASX200,Australia,XASX,ANZ,ANZ.AX,DERIVED_RULE,ANZ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:APA,APA Group,AU_ASX200,Australia,XASX,APA,APA.AX,DERIVED_RULE,APA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:APE,Eagers Automotive,AU_ASX200,Australia,XASX,APE,APE.AX,DERIVED_RULE,APE.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ARB,ARB Corporation,AU_ASX200,Australia,XASX,ARB,ARB.AX,DERIVED_RULE,ARB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ARG,Argo Investments,AU_ASX200,Australia,XASX,ARG,ARG.AX,DERIVED_RULE,ARG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ASB,Austal,AU_ASX200,Australia,XASX,ASB,ASB.AX,DERIVED_RULE,ASB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ASK,Abacus Storage King,AU_ASX200,Australia,XASX,ASK,ASK.AX,DERIVED_RULE,ASK.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ASX,ASX,AU_ASX200,Australia,XASX,ASX,ASX.AX,DERIVED_RULE,ASX.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AUB,AUB Group,AU_ASX200,Australia,XASX,AUB,AUB.AX,DERIVED_RULE,AUB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:AZJ,Aurizon,AU_ASX200,Australia,XASX,AZJ,AZJ.AX,DERIVED_RULE,AZJ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BEN,Bendigo & Adelaide Bank,AU_ASX200,Australia,XASX,BEN,BEN.AX,DERIVED_RULE,BEN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BFL,BSP Financial Group,AU_ASX200,Australia,XASX,BFL,BFL.AX,DERIVED_RULE,BFL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BGA,Bega Cheese,AU_ASX200,Australia,XASX,BGA,BGA.AX,DERIVED_RULE,BGA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BGL,Bellevue Gold,AU_ASX200,Australia,XASX,BGL,BGL.AX,DERIVED_RULE,BGL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BHP,BHP,AU_ASX200,Australia,XASX,BHP,BHP.AX,DERIVED_RULE,BHP.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:BOQ,Bank of Queensland,AU_ASX200,Australia,XASX,BOQ,BOQ.AX,DERIVED_RULE,BOQ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
