WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XAMS:AKZO.AS,AKZO NOBEL,EU_STOXX600,NL,XAMS,AKZO.AS,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XAMS:ARDS.AS,ARCADIS,EU_STOXX600,NL,XAMS,ARDS.AS,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XAMS:BAMN.AS,BAM GROEP KON.,EU_STOXX600,NL,XAMS,BAMN.AS,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XAMS:EXOR.AS,EXOR NV,EU_STOXX600,NL,XAMS,EXOR.AS,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XAMS:PHG.AS,PHILIPS,EU_STOXX600,NL,XAMS,PHG.AS,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XAMS:VOPA.AS,VOPAK,EU_STOXX600,NL,XAMS,VOPA.AS,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XBRU:WDPP.BR,WDP,EU_STOXX600,BE,XBRU,WDPP.BR,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XCSE:ALKB.CO,ALK-ABELLO B,EU_STOXX600,DK,XCSE,ALKb.CO,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XCSE:MAERSKB.CO,A.P.MOLLER-MAERSK B,EU_STOXX600,DK,XCSE,MAERSKb.CO,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XCSE:ROCKB.CO,ROCKWOOL B,EU_STOXX600,DK,XCSE,ROCKb.CO,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XDUB:KSP.I,KINGSPAN GRP,EU_STOXX600,IE,XDUB,KSP.I,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XDUB:KYGA.I,KERRY GRP,EU_STOXX600,IE,XDUB,KYGa.I,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:AG1G.DE,AUTO1 GROUP,EU_STOXX600,DE,XETR,AG1G.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:BEIG.DE,BEIERSDORF,EU_STOXX600,DE,XETR,BEIG.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:BMWG.DE,BMW,EU_STOXX600,DE,XETR,BMWG.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:DB1GN.DE,DEUTSCHE BOERSE,EU_STOXX600,DE,XETR,DB1Gn.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:EONGN.DE,E.ON,EU_STOXX600,DE,XETR,EONGn.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:FMEG.DE,FRESENIUS MEDICAL CARE,EU_STOXX600,DE,XETR,FMEG.DE,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XETR:FPE3_P.DE,FUCHS PREF,EU_STOXX600,DE,XETR,FPE3_p.DE,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
