WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6,Strict_Eligibility_v0_6,Instrument_Decision_v0_7,Instrument_Type_Resolved_v0_7,Instrument_Resolution_Method_v0_7,Instrument_Resolution_Reason_v0_7,Instrument_Evidence_URL_v0_7,Instrument_Evidence_Note_v0_7,Strict_Eligibility_v0_7,KRX_Match_Status,KRX_Match_Key,KRX_SECUGRP_NM,KRX_KIND_STKCERT_TP_NM,Instrument_Decision_v0_10,Instrument_Type_Resolved_v0_10,Instrument_Resolution_Method_v0_10,Instrument_Resolution_Reason_v0_10,Instrument_Evidence_URL_v0_10,Instrument_Evidence_Note_v0_10
WS:XKRX:000150,Doosan,South Korea,KR_KOSPI200,XKRX,000150,000150.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,42099176.1251213,65649868.764135405,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000150,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:000270,Kia,South Korea,KR_KOSPI200,XKRX,000270,000270.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,69390485.24717624,87164473.22490485,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000270,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:000660,SK Hynix,South Korea,KR_KOSPI200,XKRX,000660,000660.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,484,483,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,4780337601.440542,6594894577.035023,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000660,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:000720,Hyundai E&C,South Korea,KR_KOSPI200,XKRX,000720,000720.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,484,483,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,33714300.28044112,40358355.47483449,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000720,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:000810,Samsung Fire & Marine,South Korea,KR_KOSPI200,XKRX,000810,000810.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,34550844.37676938,47128270.47809621,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000810,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:000990,DB HiTek,South Korea,KR_KOSPI200,XKRX,000990,000990.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,484,483,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23381047.02452361,35469257.204227775,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,000990,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:001440,Taihan Cable & Solution,South Korea,KR_KOSPI200,XKRX,001440,001440.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,484,483,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,32404531.407822505,43811173.19763555,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,001440,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:001450,Hyundai Marine & Fire,South Korea,KR_KOSPI200,XKRX,001450,001450.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,16999850.78978174,11549794.3150618,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,001450,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:003230,Samyang Foods,South Korea,KR_KOSPI200,XKRX,003230,003230.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,47158810.77150069,38358679.16247982,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,003230,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
WS:XKRX:003490,Korean Air,South Korea,KR_KOSPI200,XKRX,003490,003490.KS,KRW,KRW,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,484,484,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,37333904.445143044,38205773.00723235,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,KRX_CALLS_CONSTITUENTS_STOCKS_BUT_COMMON_VS_PREFERRED_NOT_PROVEN,https://global.krx.co.kr/contents/GLB/02/0202/0202010101/GLB0202010101.jsp,"KRX describes KOSPI 200 as a blue-chip stock index, but v0.6 does not elevate this to common-share proof without a security-level or explicit eligibility rule.",NOT_VERIFIED,SOURCE_BLOCKED,003490,,,NOT_VERIFIED,UNKNOWN,KRX_SOURCE_REQUEST_FAILED,KRX_OFFICIAL_BULK_SOURCE_NOT_MATERIALIZED,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,Official KRX Data Marketplace all-stock basic-information payload. Strict PASS only when exact target-code match has SECUGRP_NM=주권 and KIND_STKCERT_TP_NM=보통주. Preferred-stock labels containing 우선주 are strict FAIL. All other values remain NOT_VERIFIED.
