Archive_Member,Encoding,Sample_Line_Number,Sample_Text
isinfull_e,cp1252,1,ZAE00032099010X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X Income Actively Managed ETF                                                                                0000000761242640000000000000ZACETF       INCOME  000            2006/006498/07                     
isinfull_e,cp1252,2,ZAE00032248310X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X All Asia Actively Managed ETF                                                                              0000000786331870000000000000ZACETF       APACXJ  000            2006/006498/07                     
isinfull_e,cp1252,3,ZAE00025424910X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X GlobalDivTrax                                                                                              0000001432424180000000000000ZACETF       GLODIV  000            2006/006498/07                     
isinfull_e,cp1252,4,ZAE00029777610X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X TotalWldTock                                                                                               0000001407741470000000000000ZACETF       GLOBAL  000            2006/006498/07                     
isinfull_e,cp1252,5,ZAE00027316510X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X SAProp Income                                                                                              0000000417698140000000000000ZACETF       CSPROP  000            2006/006498/07                     
isinfull_e,cp1252,6,ZAE00020432710X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X Top 50                                                                                                     0000000689786590000000000000ZACETF       CTOP50  000            2006/006498/07                     
isinfull_e,cp1252,7,ZAE00026869410X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X S&P 500                                                                                                    0000000251603150000000000000ZACETF       CSP500  001            2006/006498/07                     
isinfull_e,cp1252,8,ZAE00026866010X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X Global Prop                                                                                                0000000079738310000000000000ZACETF       GLPROP  001            2006/006498/07                     
isinfull_e,cp1252,9,ZAE00031616210X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X GOVI                                                                                                       0000003062732970000000000000ZACETF       CSGOVI  000            2006/006498/07                     
isinfull_e,cp1252,10,ZAE00032078410X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X Next 40                                                                                                    0000000626149430000000000000ZACETF       WNXT40  000            2006/006498/07                     
isinfull_e,cp1252,11,ZAE00032079210X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X Wealth Top 20                                                                                              0000000775010000000000000000ZACETF       WTOP20  000            2006/006498/07                     
isinfull_e,cp1252,12,ZAE00031861410X FUND MANAGERS (RF) PROPRIETARY LIMITED             10X YSB                                                                                                        0000000361893160000000000000ZACETF       CSYSB   000            2006/006498/07                     
isinfull_e,cp1252,13,ZAE0001825231NVEST ETF ISSUER (RF) LIMITED                         1nvestGold ETF                                                                                                 0000000026680000000000000000ZACETF       ETFGLD  000            2013/022008/06                     
isinfull_e,cp1252,14,ZAE0001825311NVEST ETF ISSUER (RF) LIMITED                         1nvestPalladium ETF                                                                                            0000000002450500000000000000ZACETF       ETFPLD  000            2013/022008/06                     
isinfull_e,cp1252,15,ZAE0002107871NVEST ETF ISSUER (RF) LIMITED                         1nvestRhodium ETF                                                                                              0000000006948050000000000000ZACETF       ETFRHO  000            2013/022008/06                     
isinfull_e,cp1252,16,ZAE0001825561NVEST ETF ISSUER (RF) LIMITED                         1nvestPlatinum ETF                                                                                             0000000013180000000000000000ZACETF       ETFPLT  000            2013/022008/06                     
isinfull_e,cp1252,17,ZAE0001825561NVEST ETF ISSUER (RF) LIMITED                         1nvestPlatinum ETF NM                                                                                          0000000013180000000000000000ZACETF       ENXPLT  000            2013/022008/06                     
isinfull_e,cp1252,18,ZAE0001825231NVEST ETF ISSUER (RF) LIMITED                         1nvestGold ETF NM                                                                                              0000000026680000000000000000ZACETF       ENXGLD  000            2013/022008/06                     
isinfull_e,cp1252,19,ZAE0001825311NVEST ETF ISSUER (RF) LIMITED                         1nvestPalladium ETF NM                                                                                         0000000002450500000000000000ZACETF       ENXPLD  000            2013/022008/06                     
isinfull_e,cp1252,20,ZAE0003166591NVEST ETFs LIMITED                                    1NVEST SA Bond STANLIB ETF                                                                                     0000000037530450000000000000ZACETF       ETFBND  001            1969/003468/06                     
