WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6,Strict_Eligibility_v0_6,Instrument_Decision_v0_7,Instrument_Type_Resolved_v0_7,Instrument_Resolution_Method_v0_7,Instrument_Resolution_Reason_v0_7,Instrument_Evidence_URL_v0_7,Instrument_Evidence_Note_v0_7,Strict_Eligibility_v0_7,_TARGET_ALPHA,JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing,JSE_Match_Status,Instrument_Decision_v0_12,Instrument_Type_Resolved_v0_12,Instrument_Resolution_Reason_v0_12,Instrument_Resolution_Method_v0_12,Instrument_Evidence_URL_v0_12,Instrument_Evidence_Note_v0_12
WS:SRC:ZA_TOP40:119B9827CB58256B,Valterra Platinum,South Africa,ZA_TOP40,XJSE,,VAL.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,71881567.2224194,50050033.21470608,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,VAL,ZAE000013181,VALTERRA PLATINUM LIMITED,Valterra Platinum Ltd,000000265292206,0000000000000,ZAC,Ordinary,VAL,000,XC0008565472,1946/022452/06,9575104717,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:1A460F7B08BC8A81,Anglogold Ashanti,South Africa,ZA_TOP40,XJSE,,ANG.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,84052143.96860608,81013766.94327453,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,ANG,GB00BRXH2664,ANGLOGOLD ASHANTI PLC,AngloGold Ashanti plc,000000505769256,0000000000001,ZAC,Ordinary,ANG,002,XC0008544345,14654651,,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:269DEF2006BCDC3A,Implats,South Africa,ZA_TOP40,XJSE,,IMP.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,31440740.004016224,34581906.43030636,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,IMP,ZAE000083648,IMPALA PLATINUM HOLDINGS LIMITED,Impala Platinum Hlgs Ltd,000000904368485,0000000000000,ZAC,Ordinary,IMP,001,XC0008653898,1957/001979/06,9700178719,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:302AA746912AD383,Prosus,South Africa,ZA_TOP40,XJSE,,PRX.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,29955520.439955175,51537791.17301822,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,PRX,NL0013654783,PROSUS N.V,Prosus N.V.,000002186494867,0000000000000,ZAC,Nord,PRX,000,,34099856,,   ,MATCHED_EXACT_ALPHA,PASS,JSE_NORD,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:3372028E3DD353C9,Absa Group,South Africa,ZA_TOP40,XJSE,,ABG.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,501,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23350723.207005054,24777142.728405386,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,ABG,ZAE000255915,ABSA GROUP LIMITED,Absa Group Limited,000000894376907,0000000000002,ZAC,Ordinary,ABG,000,XC0008822501,1986/003934/06,9150116714,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:3A0242B9DA294CBC,Nedbank,South Africa,ZA_TOP40,XJSE,,NED.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,501,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,19590811.188590925,14557755.904381003,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NED,ZAE000004875,NEDBANK GROUP LIMITED,Nedbank Group Ltd,000000477272628,0000000000001,ZAC,Ordinary,NED,000,XC0008647841,1966/010630/06,9375082717,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,South Africa,ZA_TOP40,XJSE,,SOL.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23673147.60440761,30104199.296855114,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,SOL,ZAE000006896,SASOL LIMITED,Sasol Limited,000000647761670,0000000000000,ZAC,Ordinary,SOL,000,XC0008651645,1979/003231/06,9520018608,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,Glencore,South Africa,ZA_TOP40,XJSE,,GLN.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,18178318.121221945,20540225.31682685,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,GLN,JE00B4T3BW64,GLENCORE PLC,Glencore plc,000013225000000,0000000000000,ZAC,Ordinary,GLN,000,,107710,,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:A707BAE04D25DE84,Gold Fields,South Africa,ZA_TOP40,XJSE,,GFI.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,501,501,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,67295192.23288713,75100799.90047896,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,GFI,ZAE000018123,GOLD FIELDS LIMITED,Gold Fields Ltd,000000895024247,0000000000000,ZAC,Ordinary,GFI,000,XC0008567775,1968/004880/06,9160035607,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
WS:SRC:ZA_TOP40:B9672938BA6AA893,FirstRand,South Africa,ZA_TOP40,XJSE,,FSR.JO,ZAR,ZAR,0.01,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,501,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,45259740.394627005,44118152.178266756,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,CURRENT_OFFICIAL_EVIDENCE_NOT_YET_SECURITY_TYPE_SPECIFIC,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jse-africa-index-series-ground-rules.pdf,"FTSE/JSE ground rules are retained, but no blanket common/ordinary-share PASS is made in v0.6.",NOT_VERIFIED,FSR,ZAE000066304,FIRSTRAND LIMITED,Firstrand Ltd,000005609488001,0000000000000,ZAC,Ordinary,FSR,001,,1966/010753/06,9150201714,   ,MATCHED_EXACT_ALPHA,PASS,JSE_ORDINARY,JSE_OFFICIAL_INSTRUMENT_TYPE_IS_ORDINARY_SHARE_CLASS,JSE_OFFICIAL_ISINFULL_E_INSTRUMENT_TYPE,https://clientportal.jse.co.za/downloadable-files?RequestNode=%2FISIN%2FEquities,Official JSE Equities ISIN bulk file. v0.12 validates the current 277-character fixed-width structure before reading Instrument Type and Alpha Code. PASS is limited to JSE Aord/Bord/Nord/Ordinary; clearly non-ordinary types are FAIL; all other types remain NOT_VERIFIED.
